id,army_type,armyTypes,atk,attr_1,attr_2,attr_3,attrs,be_killed_medal_proportion,be_killed_score_kingdom,be_killed_score_kingdom2,building_id,correlate_building,defendOfCity_Atk,desc,donate_medal,hp,IconName,kill_medal_proportion,kill_rank_count,kill_score_kingdom,kill_score_kingdom2,level,load,lvup_time,morale,name,power,power_free,quality,race,skin_avater,skin_ID,skins,speed,spine_skin_id,train_resource,train_time,trainCosts,trainTotalCostNum,treat_cost,treat_time,treatCosts,unit_ID
3906,[1|2|3],[1|2|3],40,[3|40],[4|500],,{3:40|4:500},-1,-1,-1,-1,-1,0,troop_desc_3006,-1,500,race3_103,-1,12,-1,-1,6,143,9000,0,troop_name_3006,90,90,4,3,race1_103,[30061|30062|30063|30064],[30061|30062|30063|30064],100,[30061],[999|4|500|999|5|500],500,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],50,[[999|4|100]|[999|5|100]],22002
3907,[1|2|3],[1|2|3],60,[3|60],[4|750],,{3:60|4:750},-1,-1,-1,-1,-1,0,troop_desc_3007,-1,750,race3_104,-1,13,-1,-1,7,168,10000,0,troop_name_3007,105,105,4,3,race1_104,[30071|30072|30073|30074],[30071|30072|30073|30074],100,[30071],[999|4|800|999|5|800],550,[[999|4|800]|[999|5|800]],1600,[999|4|160|999|5|160],55,[[999|4|160]|[999|5|160]],22002
3908,[1|2|3],[1|2|3],75,[3|75],[4|950],,{3:75|4:950},-1,-1,-1,-1,-1,0,troop_desc_3008,-1,950,race3_104,-1,15,-1,-1,8,193,10000,0,troop_name_3008,135,135,4,3,race1_104,[30081|30082|30083|30084],[30081|30082|30083|30084],100,[30081],[999|4|1000|999|5|1000],600,[[999|4|1000]|[999|5|1000]],2000,[999|4|200|999|5|200],60,[[999|4|200]|[999|5|200]],22002
3909,[1|2|3],[1|2|3],95,[3|95],[4|1200],,{3:95|4:1200},-1,-1,-1,-1,-1,0,troop_desc_3009,-1,1200,race3_105,-1,18,-1,-1,9,218,10000,0,troop_name_3009,175,175,5,3,race1_105,[30091|30092|30093|30094],[30091|30092|30093|30094],100,[30091],[999|4|1400|999|5|1400],700,[[999|4|1400]|[999|5|1400]],2800,[999|4|280|999|5|280],70,[[999|4|280]|[999|5|280]],22002
3910,[1|2|3],[1|2|3],113,[3|113],[4|1500],,{3:113|4:1500},-1,-1,-1,-1,-1,0,troop_desc_3010,-1,1500,race3_105,-1,22,-1,-1,10,243,10000,0,troop_name_3010,220,220,5,3,race1_105,[30101|30102|30103|30104],[30101|30102|30103|30104],100,[30101],[999|4|1800|999|5|1800],800,[[999|4|1800]|[999|5|1800]],3600,[999|4|360|999|5|360],80,[[999|4|360]|[999|5|360]],22002
4901,[1|2|3],[1|2|3],3,[3|3],[4|36],,{3:3|4:36},-1,-1,-1,-1,-1,0,troop_desc_4001,-1,36,race4_101,-1,1,-1,-1,1,18,5000,0,troop_name_4001,15,15,2,4,race1_101,[40011|40012|40013|40014],[40011|40012|40013|40014],100,[40011],[999|4|1|999|5|1],150,[[999|4|1]|[999|5|1]],2,[999|4|1|999|5|1],12,[[999|4|1]|[999|5|1]],22002
4902,[1|2|3],[1|2|3],6,[3|6],[4|60],,{3:6|4:60},-1,-1,-1,-1,-1,0,troop_desc_4002,-1,60,race4_101,-1,3,-1,-1,2,43,5500,0,troop_name_4002,30,30,2,4,race1_101,[40021|40022|40023|40024],[40021|40022|40023|40024],100,[40021],[999|4|5|999|5|5],210,[[999|4|5]|[999|5|5]],10,[999|4|2|999|5|2],18,[[999|4|2]|[999|5|2]],22002
4903,[1|2|3],[1|2|3],10,[3|10],[4|100],,{3:10|4:100},-1,-1,-1,-1,-1,0,troop_desc_4003,-1,100,race4_102,-1,6,-1,-1,3,68,6000,0,troop_name_4003,45,45,3,4,race1_102,[40031|40032|40033|40034],[40031|40032|40033|40034],100,[40031],[999|4|40|999|5|40],270,[[999|4|40]|[999|5|40]],80,[999|4|8|999|5|8],24,[[999|4|8]|[999|5|8]],22002
4904,[1|2|3],[1|2|3],20,[3|20],[4|200],,{3:20|4:200},-1,-1,-1,-1,-1,0,troop_desc_4004,-1,200,race4_102,-1,8,-1,-1,4,93,7000,0,troop_name_4004,60,60,3,4,race1_102,[40041|40042|40043|40044],[40041|40042|40043|40044],100,[40041],[999|4|100|999|5|100],360,[[999|4|100]|[999|5|100]],200,[999|4|20|999|5|20],40,[[999|4|20]|[999|5|20]],22002
4905,[1|2|3],[1|2|3],30,[3|30],[4|300],,{3:30|4:300},-1,-1,-1,-1,-1,0,troop_desc_4005,-1,300,race4_103,-1,10,-1,-1,5,118,8000,0,troop_name_4005,75,75,3,4,race1_103,[40051|40052|40053|40054],[40051|40052|40053|40054],100,[40051],[999|4|200|999|5|200],450,[[999|4|200]|[999|5|200]],400,[999|4|40|999|5|40],35,[[999|4|40]|[999|5|40]],22002
4906,[1|2|3],[1|2|3],40,[3|40],[4|500],,{3:40|4:500},-1,-1,-1,-1,-1,0,troop_desc_4006,-1,500,race4_103,-1,12,-1,-1,6,143,9000,0,troop_name_4006,90,90,4,4,race1_103,[40061|40062|40063|40064],[40061|40062|40063|40064],100,[40061],[999|4|400|999|5|400],500,[[999|4|400]|[999|5|400]],800,[999|4|80|999|5|80],40,[[999|4|80]|[999|5|80]],22002
4907,[1|2|3],[1|2|3],60,[3|60],[4|750],,{3:60|4:750},-1,-1,-1,-1,-1,0,troop_desc_4007,-1,750,race4_104,-1,13,-1,-1,7,168,10000,0,troop_name_4007,105,105,4,4,race1_104,[40071|40072|40073|40074],[40071|40072|40073|40074],100,[40071],[999|4|500|999|5|500],550,[[999|4|500]|[999|5|500]],1000,[999|4|100|999|5|100],45,[[999|4|100]|[999|5|100]],22002
4908,[1|2|3],[1|2|3],75,[3|75],[4|950],,{3:75|4:950},-1,-1,-1,-1,-1,0,troop_desc_4008,-1,950,race4_104,-1,15,-1,-1,8,193,10000,0,troop_name_4008,135,135,4,4,race1_104,[40081|40082|40083|40084],[40081|40082|40083|40084],100,[40081],[999|4|600|999|5|600],600,[[999|4|600]|[999|5|600]],1200,[999|4|120|999|5|120],50,[[999|4|120]|[999|5|120]],22002
4909,[1|2|3],[1|2|3],95,[3|95],[4|1200],,{3:95|4:1200},-1,-1,-1,-1,-1,0,troop_desc_4009,-1,1200,race4_105,-1,18,-1,-1,9,218,10000,0,troop_name_4009,175,175,5,4,race1_105,[40091|40092|40093|40094],[40091|40092|40093|40094],100,[40091],[999|4|700|999|5|700],700,[[999|4|700]|[999|5|700]],1400,[999|4|140|999|5|140],60,[[999|4|140]|[999|5|140]],22002
4910,[1|2|3],[1|2|3],113,[3|113],[4|1500],,{3:113|4:1500},-1,-1,-1,-1,-1,0,troop_desc_4010,-1,1500,race4_105,-1,22,-1,-1,10,243,10000,0,troop_name_4010,220,220,5,4,race1_105,[40101|40102|40103|40104],[40101|40102|40103|40104],100,[40101],[999|4|900|999|5|900],800,[[999|4|900]|[999|5|900]],1800,[999|4|180|999|5|180],70,[[999|4|180]|[999|5|180]],22002
