id,accumulated_rewards,accumulated_vip,cost_id,cost_price_one,cost_price_ten,cost_type,diamond_cost,fixed_group,limit,luck_goodsid,luckgem_alliancegift_rewardid,luckgem_goodsid,luckmax_num,must_drop,random_group,rewardsData,rewardVIPsData,turntable_reward
109,[15|508284002|90|508284003|300|508284004|600|508284005|1000|508284006],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|508284002]|[90|508284003]|[300|508284004]|[600|508284005]|[1000|508284006]],[],508284001
110,[15|509053003|90|509053004|300|509053005|600|509053006|1000|509053007],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509053003]|[90|509053004]|[300|509053005]|[600|509053006]|[1000|509053007]],[],509053002
111,[10|507258101|50|507258102|200|507258103|400|507258104|1000|507258105|2000|507258106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|507258101]|[50|507258102]|[200|507258103]|[400|507258104]|[1000|507258105]|[2000|507258106]],[0|0|0|0|0|8],509056666
112,[15|509103003|90|509103004|300|509103005|600|509103006|1000|509103007],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509103003]|[90|509103004]|[300|509103005]|[600|509103006]|[1000|509103007]],[],509103002
113,[15|509234002|90|509234003|300|509234004|600|509234005|1000|509234006],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509234002]|[90|509234003]|[300|509234004]|[600|509234005]|[1000|509234006]],[],509234001
114,[15|509234102|90|509234103|300|509234104|600|509234105|1000|509234106],,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509234102]|[90|509234103]|[300|509234104]|[600|509234105]|[1000|509234106]],[],509234101
115,[15|509283002|90|509283003|300|509283004|600|509283005|1000|509283006|2000|509283007],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509283002]|[90|509283003]|[300|509283004]|[600|509283005]|[1000|509283006]|[2000|509283007]],[0|0|0|0|0|8],509283001
116,[15|509295102|90|509295103|300|509295104|600|509295105|1000|509295106|2000|509295107],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|509295102]|[90|509295103]|[300|509295104]|[600|509295105]|[1000|509295106]|[2000|509295107]],[0|0|0|0|0|8],509295101
117,[10|509308102|50|509308103|200|509308104|400|509308105|1000|509308106|2000|509308107],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|509308102]|[50|509308103]|[200|509308104]|[400|509308105]|[1000|509308106]|[2000|509308107]],[0|0|0|0|0|8],509308101
118,[15|510173002|90|510173003|300|510173004|600|510173005|1000|510173006|2000|510173007],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|510173002]|[90|510173003]|[300|510173004]|[600|510173005]|[1000|510173006]|[2000|510173007]],[0|0|0|0|0|8],510173001
119,[10|509308102|50|509308103|200|509308104|400|509308105|1000|509308106|2000|509308107],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|509308102]|[50|509308103]|[200|509308104]|[400|509308105]|[1000|509308106]|[2000|509308107]],[0|0|0|0|0|8],510246801
120,[15|511073101|90|511073102|300|511073103|600|511073104|1000|511073105|2000|511073106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|511073101]|[90|511073102]|[300|511073103]|[600|511073104]|[1000|511073105]|[2000|511073106]],[0|0|0|0|0|8],511073401
121,[15|512194001|90|512194002|300|512194003|600|512194004|1000|512194005|2000|512194006],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|512194001]|[90|512194002]|[300|512194003]|[600|512194004]|[1000|512194005]|[2000|512194006]],[0|0|0|0|0|8],512194201
122,[15|601304101|90|601304102|300|601304103|600|601304104|1000|601304105|2000|601304106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|601304101]|[90|601304102]|[300|601304103]|[600|601304104]|[1000|601304105]|[2000|601304106]],[0|0|0|0|0|8],601304130
123,[15|602283101|90|602283102|300|602283103|600|602283104|1000|602283105|2000|602283106],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[15|602283101]|[90|602283102]|[300|602283103]|[600|602283104]|[1000|602283105]|[2000|602283106]],[0|0|0|0|0|8],602283401
124,[10|603204002|50|603204003|200|603204004|400|603204005|1000|603204006|2000|603204007],0|0|0|0|0|8,204001,1,10,2,750,-1,2000,-1,-1,-1,-1,204002,,[[10|603204002]|[50|603204003]|[200|603204004]|[400|603204005]|[1000|603204006]|[2000|603204007]],[0|0|0|0|0|8],603204001
125,[20|603250141|50|603250142|100|603250143|200|603250144|500|603250145|800|603250146|2000|603250147],,603241001,1,10,2,-1,-1,5000,-1,-1,-1,-1,603240002,,[[20|603250141]|[50|603250142]|[100|603250143]|[200|603250144]|[500|603250145]|[800|603250146]|[2000|603250147]],[],603250140
126,[20|605266611|50|605266612|100|605266613|200|605266614|500|605266615|800|605266616|2000|605266617],,605256001,1,10,2,-1,-1,5000,-1,-1,-1,-1,605256002,,[[20|605266611]|[50|605266612]|[100|605266613]|[200|605266614]|[500|605266615]|[800|605266616]|[2000|605266617]],[],605266601
