id,cost,cost_1,cost_2,cost1Array,cost2Array,costArray,level,level_building,preview,quality_list,qualityList,reward_list,type,weight,weight_list,weight_list_1,weight_list_2,weight1,weight2,weightList,weightList1,weightList2
2034,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,34,220801|230801|230811|230821|230831|240801|240811|240821|240831|250801|250811|250821|250831,[2|3|4|5],[2|3|4|5],21082|21083|21084|21085,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2035,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,35,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2036,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,36,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2037,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,37,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2038,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,38,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2039,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,39,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2040,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,40,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2041,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,41,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2042,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,42,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2043,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,43,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2044,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,44,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2045,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,45,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2046,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,46,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2047,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,47,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2048,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,48,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2049,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,49,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
2050,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,50,220901|230901|230911|230921|230931|240901|240911|240921|240931|250901|250911|250921|250931,[2|3|4|5],[2|3|4|5],21092|21093|21094|21095,2,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3005,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,5,310101|330101|330111|330121|330131|340101|340111|340121|340131,[2|3|4|5],[2|3|4|5],22012|22013|22014|22015,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3006,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,6,310101|330101|330111|330121|330131|340101|340111|340121|340131,[2|3|4|5],[2|3|4|5],22012|22013|22014|22015,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3007,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,7,310201|330201|330211|330221|330231|340201|340211|340221|340231,[2|3|4|5],[2|3|4|5],22022|22023|22024|22025,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3008,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,8,310201|330201|330211|330221|330231|340201|340211|340221|340231,[2|3|4|5],[2|3|4|5],22022|22023|22024|22025,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3009,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,9,310201|330201|330211|330221|330231|340201|340211|340221|340231,[2|3|4|5],[2|3|4|5],22022|22023|22024|22025,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3010,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,10,310201|330201|330211|330221|330231|340201|340211|340221|340231,[2|3|4|5],[2|3|4|5],22022|22023|22024|22025,3,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
3011,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,11,320301|330301|330311|330321|330331|340301|340311|340321|340331|350301|350311|350321|350331,[2|3|4|5],[2|3|4|5],22032|22033|22034|22035,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3012,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,12,320301|330301|330311|330321|330331|340301|340311|340321|340331|350301|350311|350321|350331,[2|3|4|5],[2|3|4|5],22032|22033|22034|22035,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3013,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,13,320301|330301|330311|330321|330331|340301|340311|340321|340331|350301|350311|350321|350331,[2|3|4|5],[2|3|4|5],22032|22033|22034|22035,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3014,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,14,320301|330301|330311|330321|330331|340301|340311|340321|340331|350301|350311|350321|350331,[2|3|4|5],[2|3|4|5],22032|22033|22034|22035,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3015,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,15,320401|330401|330411|330421|330431|340401|340411|340421|340431|350401|350411|350421|350431,[2|3|4|5],[2|3|4|5],22042|22043|22044|22045,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3016,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,16,320401|330401|330411|330421|330431|340401|340411|340421|340431|350401|350411|350421|350431,[2|3|4|5],[2|3|4|5],22042|22043|22044|22045,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3017,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,17,320401|330401|330411|330421|330431|340401|340411|340421|340431|350401|350411|350421|350431,[2|3|4|5],[2|3|4|5],22042|22043|22044|22045,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3018,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,18,320401|330401|330411|330421|330431|340401|340411|340421|340431|350401|350411|350421|350431,[2|3|4|5],[2|3|4|5],22042|22043|22044|22045,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3019,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,19,320501|330501|330511|330521|330531|340501|340511|340521|340531|350501|350511|350521|350531,[2|3|4|5],[2|3|4|5],22052|22053|22054|22055,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3020,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,20,320501|330501|330511|330521|330531|340501|340511|340521|340531|350501|350511|350521|350531,[2|3|4|5],[2|3|4|5],22052|22053|22054|22055,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3021,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,21,320501|330501|330511|330521|330531|340501|340511|340521|340531|350501|350511|350521|350531,[2|3|4|5],[2|3|4|5],22052|22053|22054|22055,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3022,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,22,320501|330501|330511|330521|330531|340501|340511|340521|340531|350501|350511|350521|350531,[2|3|4|5],[2|3|4|5],22052|22053|22054|22055,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3023,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,23,320601|330601|330611|330621|330631|340601|340611|340621|340631|350601|350611|350621|350631,[2|3|4|5],[2|3|4|5],22062|22063|22064|22065,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3024,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,24,320601|330601|330611|330621|330631|340601|340611|340621|340631|350601|350611|350621|350631,[2|3|4|5],[2|3|4|5],22062|22063|22064|22065,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3025,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,25,320601|330601|330611|330621|330631|340601|340611|340621|340631|350601|350611|350621|350631,[2|3|4|5],[2|3|4|5],22062|22063|22064|22065,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3026,[999|11|2600],[2|301|68],[2|302|25],[2|301|68],[2|302|25],[999|11|2600],120,26,320601|330601|330611|330621|330631|340601|340611|340621|340631|350601|350611|350621|350631,[2|3|4|5],[2|3|4|5],22062|22063|22064|22065,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3027,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,27,320701|330701|330711|330721|330731|340701|340711|340721|340731|350701|350711|350721|350731,[2|3|4|5],[2|3|4|5],22072|22073|22074|22075,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3028,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,28,320701|330701|330711|330721|330731|340701|340711|340721|340731|350701|350711|350721|350731,[2|3|4|5],[2|3|4|5],22072|22073|22074|22075,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3029,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,29,320701|330701|330711|330721|330731|340701|340711|340721|340731|350701|350711|350721|350731,[2|3|4|5],[2|3|4|5],22072|22073|22074|22075,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3030,[999|11|4000],[2|301|110],[2|302|39],[2|301|110],[2|302|39],[999|11|4000],140,30,320701|330701|330711|330721|330731|340701|340711|340721|340731|350701|350711|350721|350731,[2|3|4|5],[2|3|4|5],22072|22073|22074|22075,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3031,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,31,320801|330801|330811|330821|330831|340801|340811|340821|340831|350801|350811|350821|350831,[2|3|4|5],[2|3|4|5],22082|22083|22084|22085,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3032,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,32,320801|330801|330811|330821|330831|340801|340811|340821|340831|350801|350811|350821|350831,[2|3|4|5],[2|3|4|5],22082|22083|22084|22085,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3033,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,33,320801|330801|330811|330821|330831|340801|340811|340821|340831|350801|350811|350821|350831,[2|3|4|5],[2|3|4|5],22082|22083|22084|22085,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3034,[999|11|6000],[2|301|180],[2|302|63],[2|301|180],[2|302|63],[999|11|6000],160,34,320801|330801|330811|330821|330831|340801|340811|340821|340831|350801|350811|350821|350831,[2|3|4|5],[2|3|4|5],22082|22083|22084|22085,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3035,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,35,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3036,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,36,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3037,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,37,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3038,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,38,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3039,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,39,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3040,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,40,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3041,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,41,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3042,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,42,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3043,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,43,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3044,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,44,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3045,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,45,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3046,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,46,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3047,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,47,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3048,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,48,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3049,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,49,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
3050,[999|11|9000],[2|301|293],[2|302|102],[2|301|293],[2|302|102],[999|11|9000],180,50,320901|330901|330911|330921|330931|340901|340911|340921|340931|350901|350911|350921|350931,[2|3|4|5],[2|3|4|5],22092|22093|22094|22095,3,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4006,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,6,410101|430101|430111|430121|430131|440101|440111|440121|440131,[2|3|4|5],[2|3|4|5],23012|23013|23014|23015,4,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
4007,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,7,410201|430201|430211|430221|430231|440201|440211|440221|440231,[2|3|4|5],[2|3|4|5],23022|23023|23024|23025,4,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
4008,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,8,410201|430201|430211|430221|430231|440201|440211|440221|440231,[2|3|4|5],[2|3|4|5],23022|23023|23024|23025,4,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
4009,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,9,410201|430201|430211|430221|430231|440201|440211|440221|440231,[2|3|4|5],[2|3|4|5],23022|23023|23024|23025,4,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
4010,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,10,410201|430201|430211|430221|430231|440201|440211|440221|440231,[2|3|4|5],[2|3|4|5],23022|23023|23024|23025,4,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
4011,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,11,420301|430301|430311|430321|430331|440301|440311|440321|440331|450301|450311|450321|450331,[2|3|4|5],[2|3|4|5],23032|23033|23034|23035,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4012,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,12,420301|430301|430311|430321|430331|440301|440311|440321|440331|450301|450311|450321|450331,[2|3|4|5],[2|3|4|5],23032|23033|23034|23035,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4013,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,13,420301|430301|430311|430321|430331|440301|440311|440321|440331|450301|450311|450321|450331,[2|3|4|5],[2|3|4|5],23032|23033|23034|23035,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4014,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,14,420301|430301|430311|430321|430331|440301|440311|440321|440331|450301|450311|450321|450331,[2|3|4|5],[2|3|4|5],23032|23033|23034|23035,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4015,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,15,420401|430401|430411|430421|430431|440401|440411|440421|440431|450401|450411|450421|450431,[2|3|4|5],[2|3|4|5],23042|23043|23044|23045,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4016,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,16,420401|430401|430411|430421|430431|440401|440411|440421|440431|450401|450411|450421|450431,[2|3|4|5],[2|3|4|5],23042|23043|23044|23045,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4017,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,17,420401|430401|430411|430421|430431|440401|440411|440421|440431|450401|450411|450421|450431,[2|3|4|5],[2|3|4|5],23042|23043|23044|23045,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4018,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,18,420401|430401|430411|430421|430431|440401|440411|440421|440431|450401|450411|450421|450431,[2|3|4|5],[2|3|4|5],23042|23043|23044|23045,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4019,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,19,420501|430501|430511|430521|430531|440501|440511|440521|440531|450501|450511|450521|450531,[2|3|4|5],[2|3|4|5],23052|23053|23054|23055,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
4020,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,20,420501|430501|430511|430521|430531|440501|440511|440521|440531|450501|450511|450521|450531,[2|3|4|5],[2|3|4|5],23052|23053|23054|23055,4,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
