id,attribute,attrs,cost,costNoBack,fightforce,lv_up_cost_no_back,model_id,pre_building_level,preBuildLv,star,star_up_cost,star_up_costs,starPowers
52303,[65|315],[[65|315]],[[2|206|230]],[],[1260],,523,[117|0],[117|0],3,[2|206|230],[[2|206|230]],[1260]
52304,[65|420],[[65|420]],[[2|206|250]],[],[1680],,523,[117|0],[117|0],4,[2|206|250],[[2|206|250]],[1680]
52305,[65|525],[[65|525]],[[2|206|265]],[],[2100],,523,[117|0],[117|0],5,[2|206|265],[[2|206|265]],[2100]
52306,[65|630],[[65|630]],[[2|206|285]],[],[2520],,523,[117|0],[117|0],6,[2|206|285],[[2|206|285]],[2520]
52307,[65|735],[[65|735]],[[2|206|320]],[],[2940],,523,[117|0],[117|0],7,[2|206|320],[[2|206|320]],[2940]
52308,[65|840],[[65|840]],[[2|206|355]],[],[3360],,523,[117|0],[117|0],8,[2|206|355],[[2|206|355]],[3360]
52309,[65|945],[[65|945]],[[2|206|530]],[],[3780],,523,[117|0],[117|0],9,[2|206|530],[[2|206|530]],[3780]
52310,[65|1365],[[65|1365]],[[2|206|705]],[],[5460],,523,[117|0],[117|0],10,[2|206|705],[[2|206|705]],[5460]
52311,[65|1525],[[65|1525]],[[2|206|530]],[],[6100],,523,[117|10],[117|10],11,[2|206|530],[[2|206|530]],[6100]
52312,[65|1685],[[65|1685]],[[2|206|530]],[],[6740],,523,[117|10],[117|10],12,[2|206|530],[[2|206|530]],[6740]
52313,[65|1845],[[65|1845]],[[2|206|620]],[],[7380],,523,[117|10],[117|10],13,[2|206|620],[[2|206|620]],[7380]
52314,[65|2005],[[65|2005]],[[2|206|620]],[],[8020],,523,[117|10],[117|10],14,[2|206|620],[[2|206|620]],[8020]
52315,[65|2165],[[65|2165]],[[2|206|705]],[],[8660],,523,[117|10],[117|10],15,[2|206|705],[[2|206|705]],[8660]
52316,[65|2325],[[65|2325]],[[2|206|705]],[],[9300],,523,[117|10],[117|10],16,[2|206|705],[[2|206|705]],[9300]
52317,[65|2485],[[65|2485]],[[2|206|880]],[],[9940],,523,[117|10],[117|10],17,[2|206|880],[[2|206|880]],[9940]
52318,[65|2645],[[65|2645]],[[2|206|880]],[],[10580],,523,[117|10],[117|10],18,[2|206|880],[[2|206|880]],[10580]
52319,[65|2805],[[65|2805]],[[2|206|1060]],[],[11220],,523,[117|10],[117|10],19,[2|206|1060],[[2|206|1060]],[11220]
52320,[65|3435],[[65|3435]],[[2|206|1410]],[],[13740],,523,[117|10],[117|10],20,[2|206|1410],[[2|206|1410]],[13740]
52321,[65|3750],[[65|3750]],[[2|206|1060]],[],[15000],,523,[117|20],[117|20],21,[2|206|1060],[[2|206|1060]],[15000]
52322,[65|4065],[[65|4065]],[[2|206|1145]],[],[16260],,523,[117|20],[117|20],22,[2|206|1145],[[2|206|1145]],[16260]
52323,[65|4380],[[65|4380]],[[2|206|1235]],[],[17520],,523,[117|20],[117|20],23,[2|206|1235],[[2|206|1235]],[17520]
52324,[65|4695],[[65|4695]],[[2|206|845]],[],[18780],,523,[117|20],[117|20],24,[2|206|845],[[2|206|845]],[18780]
52325,[65|5010],[[65|5010]],[[2|206|1410]],[],[20040],,523,[117|20],[117|20],25,[2|206|1410],[[2|206|1410]],[20040]
52326,[65|5325],[[65|5325]],[[2|206|1585]],[],[21300],,523,[117|20],[117|20],26,[2|206|1585],[[2|206|1585]],[21300]
52327,[65|5640],[[65|5640]],[[2|206|1585]],[],[22560],,523,[117|20],[117|20],27,[2|206|1585],[[2|206|1585]],[22560]
52328,[65|5955],[[65|5955]],[[2|206|1760]],[],[23820],,523,[117|20],[117|20],28,[2|206|1760],[[2|206|1760]],[23820]
52329,[65|6270],[[65|6270]],[[2|206|1760]],[],[25080],,523,[117|20],[117|20],29,[2|206|1760],[[2|206|1760]],[25080]
52330,[65|7530],[[65|7530]],[[2|206|2640]],[],[30120],,523,[117|20],[117|20],30,[2|206|2640],[[2|206|2640]],[30120]
52331,[65|8055],[[65|8055]],[[2|206|1760]],[],[32220],,523,[117|30],[117|30],31,[2|206|1760],[[2|206|1760]],[32220]
52332,[65|8580],[[65|8580]],[[2|206|1935]],[],[34320],,523,[117|30],[117|30],32,[2|206|1935],[[2|206|1935]],[34320]
52333,[65|9105],[[65|9105]],[[2|206|2115]],[],[36420],,523,[117|30],[117|30],33,[2|206|2115],[[2|206|2115]],[36420]
52334,[65|9630],[[65|9630]],[[2|206|2640]],[],[38520],,523,[117|30],[117|30],34,[2|206|2640],[[2|206|2640]],[38520]
52335,[65|10155],[[65|10155]],[[2|206|2640]],[],[40620],,523,[117|30],[117|30],35,[2|206|2640],[[2|206|2640]],[40620]
52336,[65|10680],[[65|10680]],[[2|206|2640]],[],[42720],,523,[117|30],[117|30],36,[2|206|2640],[[2|206|2640]],[42720]
52337,[65|11205],[[65|11205]],[[2|206|3520]],[],[44820],,523,[117|30],[117|30],37,[2|206|3520],[[2|206|3520]],[44820]
52338,[65|11730],[[65|11730]],[[2|206|3520]],[],[46920],,523,[117|30],[117|30],38,[2|206|3520],[[2|206|3520]],[46920]
52339,[65|12255],[[65|12255]],[[2|206|3520]],[],[49020],,523,[117|30],[117|30],39,[2|206|3520],[[2|206|3520]],[49020]
52340,[65|14355],[[65|14355]],[[2|206|3520]],[],[57420],,523,[117|30],[117|30],40,[2|206|3520],[[2|206|3520]],[57420]
52401,[66|945],[[66|945]],[[2|206|180]],[],[420],,524,[117|0],[117|0],1,[2|206|180],[[2|206|180]],[420]
52402,[66|1890],[[66|1890]],[[2|206|215]],[],[840],,524,[117|0],[117|0],2,[2|206|215],[[2|206|215]],[840]
52403,[66|2835],[[66|2835]],[[2|206|230]],[],[1260],,524,[117|0],[117|0],3,[2|206|230],[[2|206|230]],[1260]
52404,[66|3780],[[66|3780]],[[2|206|250]],[],[1680],,524,[117|0],[117|0],4,[2|206|250],[[2|206|250]],[1680]
52405,[66|4725],[[66|4725]],[[2|206|265]],[],[2100],,524,[117|0],[117|0],5,[2|206|265],[[2|206|265]],[2100]
52406,[66|5670],[[66|5670]],[[2|206|285]],[],[2520],,524,[117|0],[117|0],6,[2|206|285],[[2|206|285]],[2520]
52407,[66|6615],[[66|6615]],[[2|206|320]],[],[2940],,524,[117|0],[117|0],7,[2|206|320],[[2|206|320]],[2940]
52408,[66|7560],[[66|7560]],[[2|206|355]],[],[3360],,524,[117|0],[117|0],8,[2|206|355],[[2|206|355]],[3360]
52409,[66|8505],[[66|8505]],[[2|206|530]],[],[3780],,524,[117|0],[117|0],9,[2|206|530],[[2|206|530]],[3780]
52410,[66|12280],[[66|12280]],[[2|206|705]],[],[5458],,524,[117|0],[117|0],10,[2|206|705],[[2|206|705]],[5458]
52411,[66|13695],[[66|13695]],[[2|206|530]],[],[6087],,524,[117|10],[117|10],11,[2|206|530],[[2|206|530]],[6087]
52412,[66|15110],[[66|15110]],[[2|206|530]],[],[6716],,524,[117|10],[117|10],12,[2|206|530],[[2|206|530]],[6716]
52413,[66|16525],[[66|16525]],[[2|206|620]],[],[7345],,524,[117|10],[117|10],13,[2|206|620],[[2|206|620]],[7345]
52414,[66|17940],[[66|17940]],[[2|206|620]],[],[7974],,524,[117|10],[117|10],14,[2|206|620],[[2|206|620]],[7974]
52415,[66|19355],[[66|19355]],[[2|206|705]],[],[8603],,524,[117|10],[117|10],15,[2|206|705],[[2|206|705]],[8603]
52416,[66|20770],[[66|20770]],[[2|206|705]],[],[9232],,524,[117|10],[117|10],16,[2|206|705],[[2|206|705]],[9232]
52417,[66|22185],[[66|22185]],[[2|206|880]],[],[9860],,524,[117|10],[117|10],17,[2|206|880],[[2|206|880]],[9860]
52418,[66|23600],[[66|23600]],[[2|206|880]],[],[10489],,524,[117|10],[117|10],18,[2|206|880],[[2|206|880]],[10489]
52419,[66|25015],[[66|25015]],[[2|206|1060]],[],[11118],,524,[117|10],[117|10],19,[2|206|1060],[[2|206|1060]],[11118]
52420,[66|30675],[[66|30675]],[[2|206|1410]],[],[13634],,524,[117|10],[117|10],20,[2|206|1410],[[2|206|1410]],[13634]
52421,[66|33505],[[66|33505]],[[2|206|1060]],[],[14892],,524,[117|20],[117|20],21,[2|206|1060],[[2|206|1060]],[14892]
52422,[66|36335],[[66|36335]],[[2|206|1145]],[],[16149],,524,[117|20],[117|20],22,[2|206|1145],[[2|206|1145]],[16149]
52423,[66|39165],[[66|39165]],[[2|206|1235]],[],[17407],,524,[117|20],[117|20],23,[2|206|1235],[[2|206|1235]],[17407]
52424,[66|41995],[[66|41995]],[[2|206|845]],[],[18665],,524,[117|20],[117|20],24,[2|206|845],[[2|206|845]],[18665]
52425,[66|44825],[[66|44825]],[[2|206|1410]],[],[19923],,524,[117|20],[117|20],25,[2|206|1410],[[2|206|1410]],[19923]
52426,[66|47655],[[66|47655]],[[2|206|1585]],[],[21180],,524,[117|20],[117|20],26,[2|206|1585],[[2|206|1585]],[21180]
52427,[66|50485],[[66|50485]],[[2|206|1585]],[],[22438],,524,[117|20],[117|20],27,[2|206|1585],[[2|206|1585]],[22438]
52428,[66|53315],[[66|53315]],[[2|206|1760]],[],[23696],,524,[117|20],[117|20],28,[2|206|1760],[[2|206|1760]],[23696]
52429,[66|56145],[[66|56145]],[[2|206|1760]],[],[24954],,524,[117|20],[117|20],29,[2|206|1760],[[2|206|1760]],[24954]
52430,[66|67460],[[66|67460]],[[2|206|2640]],[],[29983],,524,[117|20],[117|20],30,[2|206|2640],[[2|206|2640]],[29983]
52431,[66|72175],[[66|72175]],[[2|206|1760]],[],[32078],,524,[117|30],[117|30],31,[2|206|1760],[[2|206|1760]],[32078]
52432,[66|76890],[[66|76890]],[[2|206|1935]],[],[34174],,524,[117|30],[117|30],32,[2|206|1935],[[2|206|1935]],[34174]
52433,[66|81605],[[66|81605]],[[2|206|2115]],[],[36269],,524,[117|30],[117|30],33,[2|206|2115],[[2|206|2115]],[36269]
52434,[66|86320],[[66|86320]],[[2|206|2640]],[],[38365],,524,[117|30],[117|30],34,[2|206|2640],[[2|206|2640]],[38365]
52435,[66|91035],[[66|91035]],[[2|206|2640]],[],[40460],,524,[117|30],[117|30],35,[2|206|2640],[[2|206|2640]],[40460]
52436,[66|95750],[[66|95750]],[[2|206|2640]],[],[42556],,524,[117|30],[117|30],36,[2|206|2640],[[2|206|2640]],[42556]
52437,[66|100465],[[66|100465]],[[2|206|3520]],[],[44652],,524,[117|30],[117|30],37,[2|206|3520],[[2|206|3520]],[44652]
52438,[66|105180],[[66|105180]],[[2|206|3520]],[],[46747],,524,[117|30],[117|30],38,[2|206|3520],[[2|206|3520]],[46747]
52439,[66|109895],[[66|109895]],[[2|206|3520]],[],[48843],,524,[117|30],[117|30],39,[2|206|3520],[[2|206|3520]],[48843]
52440,[66|128750],[[66|128750]],[[2|206|3520]],[],[57223],,524,[117|30],[117|30],40,[2|206|3520],[[2|206|3520]],[57223]
61101,[65|210],[[65|210]],[[2|206|180]],[],[840],,611,[117|0],[117|0],1,[2|206|180],[[2|206|180]],[840]
61102,[65|420],[[65|420]],[[2|206|215]],[],[1680],,611,[117|0],[117|0],2,[2|206|215],[[2|206|215]],[1680]
61103,[65|630],[[65|630]],[[2|206|230]],[],[2520],,611,[117|0],[117|0],3,[2|206|230],[[2|206|230]],[2520]
61104,[65|840],[[65|840]],[[2|206|250]],[],[3360],,611,[117|0],[117|0],4,[2|206|250],[[2|206|250]],[3360]
61105,[65|1050],[[65|1050]],[[2|206|265]],[],[4200],,611,[117|0],[117|0],5,[2|206|265],[[2|206|265]],[4200]
61106,[65|1260],[[65|1260]],[[2|206|285]],[],[5040],,611,[117|0],[117|0],6,[2|206|285],[[2|206|285]],[5040]
61107,[65|1470],[[65|1470]],[[2|206|320]],[],[5880],,611,[117|0],[117|0],7,[2|206|320],[[2|206|320]],[5880]
61108,[65|1680],[[65|1680]],[[2|206|355]],[],[6720],,611,[117|0],[117|0],8,[2|206|355],[[2|206|355]],[6720]
61109,[65|1890],[[65|1890]],[[2|206|530]],[],[7560],,611,[117|0],[117|0],9,[2|206|530],[[2|206|530]],[7560]
61110,[65|2730],[[65|2730]],[[2|206|705]],[],[10920],,611,[117|0],[117|0],10,[2|206|705],[[2|206|705]],[10920]
61111,[65|3045],[[65|3045]],[[2|206|530]],[],[12180],,611,[117|10],[117|10],11,[2|206|530],[[2|206|530]],[12180]
61112,[65|3360],[[65|3360]],[[2|206|530]],[],[13440],,611,[117|10],[117|10],12,[2|206|530],[[2|206|530]],[13440]
61113,[65|3675],[[65|3675]],[[2|206|620]],[],[14700],,611,[117|10],[117|10],13,[2|206|620],[[2|206|620]],[14700]
61114,[65|3990],[[65|3990]],[[2|206|620]],[],[15960],,611,[117|10],[117|10],14,[2|206|620],[[2|206|620]],[15960]
61115,[65|4305],[[65|4305]],[[2|206|705]],[],[17220],,611,[117|10],[117|10],15,[2|206|705],[[2|206|705]],[17220]
61116,[65|4620],[[65|4620]],[[2|206|705]],[],[18480],,611,[117|10],[117|10],16,[2|206|705],[[2|206|705]],[18480]
61117,[65|4935],[[65|4935]],[[2|206|880]],[],[19740],,611,[117|10],[117|10],17,[2|206|880],[[2|206|880]],[19740]
61118,[65|5250],[[65|5250]],[[2|206|880]],[],[21000],,611,[117|10],[117|10],18,[2|206|880],[[2|206|880]],[21000]
61119,[65|5565],[[65|5565]],[[2|206|1060]],[],[22260],,611,[117|10],[117|10],19,[2|206|1060],[[2|206|1060]],[22260]
61120,[65|6825],[[65|6825]],[[2|206|1410]],[],[27300],,611,[117|10],[117|10],20,[2|206|1410],[[2|206|1410]],[27300]
61121,[65|7455],[[65|7455]],[[2|206|1060]],[],[29820],,611,[117|20],[117|20],21,[2|206|1060],[[2|206|1060]],[29820]
61122,[65|8085],[[65|8085]],[[2|206|1145]],[],[32340],,611,[117|20],[117|20],22,[2|206|1145],[[2|206|1145]],[32340]
61123,[65|8715],[[65|8715]],[[2|206|1235]],[],[34860],,611,[117|20],[117|20],23,[2|206|1235],[[2|206|1235]],[34860]
61124,[65|9345],[[65|9345]],[[2|206|845]],[],[37380],,611,[117|20],[117|20],24,[2|206|845],[[2|206|845]],[37380]
61125,[65|9975],[[65|9975]],[[2|206|1410]],[],[39900],,611,[117|20],[117|20],25,[2|206|1410],[[2|206|1410]],[39900]
61126,[65|10605],[[65|10605]],[[2|206|1585]],[],[42420],,611,[117|20],[117|20],26,[2|206|1585],[[2|206|1585]],[42420]
61127,[65|11235],[[65|11235]],[[2|206|1585]],[],[44940],,611,[117|20],[117|20],27,[2|206|1585],[[2|206|1585]],[44940]
61128,[65|11865],[[65|11865]],[[2|206|1760]],[],[47460],,611,[117|20],[117|20],28,[2|206|1760],[[2|206|1760]],[47460]
61129,[65|12495],[[65|12495]],[[2|206|1760]],[],[49980],,611,[117|20],[117|20],29,[2|206|1760],[[2|206|1760]],[49980]
61130,[65|15010],[[65|15010]],[[2|206|2640]],[],[60040],,611,[117|20],[117|20],30,[2|206|2640],[[2|206|2640]],[60040]
61131,[65|16060],[[65|16060]],[[2|206|1760]],[],[64240],,611,[117|30],[117|30],31,[2|206|1760],[[2|206|1760]],[64240]
61132,[65|17110],[[65|17110]],[[2|206|1935]],[],[68440],,611,[117|30],[117|30],32,[2|206|1935],[[2|206|1935]],[68440]
61133,[65|18160],[[65|18160]],[[2|206|2115]],[],[72640],,611,[117|30],[117|30],33,[2|206|2115],[[2|206|2115]],[72640]
61134,[65|19210],[[65|19210]],[[2|206|2640]],[],[76840],,611,[117|30],[117|30],34,[2|206|2640],[[2|206|2640]],[76840]
61135,[65|20260],[[65|20260]],[[2|206|2640]],[],[81040],,611,[117|30],[117|30],35,[2|206|2640],[[2|206|2640]],[81040]
61136,[65|21310],[[65|21310]],[[2|206|2640]],[],[85240],,611,[117|30],[117|30],36,[2|206|2640],[[2|206|2640]],[85240]
61137,[65|22360],[[65|22360]],[[2|206|3520]],[],[89440],,611,[117|30],[117|30],37,[2|206|3520],[[2|206|3520]],[89440]
61138,[65|23410],[[65|23410]],[[2|206|3520]],[],[93640],,611,[117|30],[117|30],38,[2|206|3520],[[2|206|3520]],[93640]
61139,[65|24460],[[65|24460]],[[2|206|3520]],[],[97840],,611,[117|30],[117|30],39,[2|206|3520],[[2|206|3520]],[97840]
61140,[65|28650],[[65|28650]],[[2|206|3520]],[],[114600],,611,[117|30],[117|30],40,[2|206|3520],[[2|206|3520]],[114600]
61141,[65|30330],[[65|30330]],[[2|206|2820]],[],[121320],,611,[117|40],[117|40],41,[2|206|2820],[[2|206|2820]],[121320]
61142,[65|32010],[[65|32010]],[[2|206|3100]],[],[128040],,611,[117|40],[117|40],42,[2|206|3100],[[2|206|3100]],[128040]
61143,[65|33690],[[65|33690]],[[2|206|3385]],[],[134760],,611,[117|40],[117|40],43,[2|206|3385],[[2|206|3385]],[134760]
61144,[65|35370],[[65|35370]],[[2|206|4225]],[],[141480],,611,[117|40],[117|40],44,[2|206|4225],[[2|206|4225]],[141480]
61145,[65|37050],[[65|37050]],[[2|206|4225]],[],[148200],,611,[117|40],[117|40],45,[2|206|4225],[[2|206|4225]],[148200]
61146,[65|38730],[[65|38730]],[[2|206|4225]],[],[154920],,611,[117|40],[117|40],46,[2|206|4225],[[2|206|4225]],[154920]
61147,[65|40410],[[65|40410]],[[2|206|5635]],[],[161640],,611,[117|40],[117|40],47,[2|206|5635],[[2|206|5635]],[161640]
61148,[65|42090],[[65|42090]],[[2|206|5635]],[],[168360],,611,[117|40],[117|40],48,[2|206|5635],[[2|206|5635]],[168360]
61149,[65|43770],[[65|43770]],[[2|206|5635]],[],[175080],,611,[117|40],[117|40],49,[2|206|5635],[[2|206|5635]],[175080]
61150,[65|50055],[[65|50055]],[[2|206|5635]],[],[200220],,611,[117|40],[117|40],50,[2|206|5635],[[2|206|5635]],[200220]
61201,[66|1510|65|45],[[66|1510]|[65|45]],[[2|206|180]],[],[852],,612,[117|0],[117|0],1,[2|206|180],[[2|206|180]],[852]
61202,[66|3020|65|90],[[66|3020]|[65|90]],[[2|206|215]],[],[1703],,612,[117|0],[117|0],2,[2|206|215],[[2|206|215]],[1703]
61203,[66|4530|65|135],[[66|4530]|[65|135]],[[2|206|230]],[],[2554],,612,[117|0],[117|0],3,[2|206|230],[[2|206|230]],[2554]
61204,[66|6040|65|180],[[66|6040]|[65|180]],[[2|206|250]],[],[3405],,612,[117|0],[117|0],4,[2|206|250],[[2|206|250]],[3405]
61205,[66|7550|65|225],[[66|7550]|[65|225]],[[2|206|265]],[],[4256],,612,[117|0],[117|0],5,[2|206|265],[[2|206|265]],[4256]
61206,[66|9060|65|270],[[66|9060]|[65|270]],[[2|206|285]],[],[5107],,612,[117|0],[117|0],6,[2|206|285],[[2|206|285]],[5107]
61207,[66|10570|65|315],[[66|10570]|[65|315]],[[2|206|320]],[],[5958],,612,[117|0],[117|0],7,[2|206|320],[[2|206|320]],[5958]
61208,[66|12080|65|360],[[66|12080]|[65|360]],[[2|206|355]],[],[6809],,612,[117|0],[117|0],8,[2|206|355],[[2|206|355]],[6809]
61209,[66|13590|65|405],[[66|13590]|[65|405]],[[2|206|530]],[],[7660],,612,[117|0],[117|0],9,[2|206|530],[[2|206|530]],[7660]
61210,[66|19625|65|575],[[66|19625]|[65|575]],[[2|206|705]],[],[11023],,612,[117|0],[117|0],10,[2|206|705],[[2|206|705]],[11023]
61211,[66|21890|65|640],[[66|21890]|[65|640]],[[2|206|530]],[],[12289],,612,[117|10],[117|10],11,[2|206|530],[[2|206|530]],[12289]
61212,[66|24155|65|705],[[66|24155]|[65|705]],[[2|206|530]],[],[13556],,612,[117|10],[117|10],12,[2|206|530],[[2|206|530]],[13556]
61213,[66|26420|65|770],[[66|26420]|[65|770]],[[2|206|620]],[],[14823],,612,[117|10],[117|10],13,[2|206|620],[[2|206|620]],[14823]
61214,[66|28685|65|835],[[66|28685]|[65|835]],[[2|206|620]],[],[16089],,612,[117|10],[117|10],14,[2|206|620],[[2|206|620]],[16089]
61215,[66|30950|65|900],[[66|30950]|[65|900]],[[2|206|705]],[],[17356],,612,[117|10],[117|10],15,[2|206|705],[[2|206|705]],[17356]
61216,[66|33215|65|965],[[66|33215]|[65|965]],[[2|206|705]],[],[18623],,612,[117|10],[117|10],16,[2|206|705],[[2|206|705]],[18623]
61217,[66|35480|65|1030],[[66|35480]|[65|1030]],[[2|206|880]],[],[19889],,612,[117|10],[117|10],17,[2|206|880],[[2|206|880]],[19889]
61218,[66|37745|65|1095],[[66|37745]|[65|1095]],[[2|206|880]],[],[21156],,612,[117|10],[117|10],18,[2|206|880],[[2|206|880]],[21156]
61219,[66|40010|65|1160],[[66|40010]|[65|1160]],[[2|206|1060]],[],[22423],,612,[117|10],[117|10],19,[2|206|1060],[[2|206|1060]],[22423]
61220,[66|49060|65|1415],[[66|49060]|[65|1415]],[[2|206|1410]],[],[27465],,612,[117|10],[117|10],20,[2|206|1410],[[2|206|1410]],[27465]
61221,[66|53585|65|1545],[[66|53585]|[65|1545]],[[2|206|1060]],[],[29996],,612,[117|20],[117|20],21,[2|206|1060],[[2|206|1060]],[29996]
61222,[66|58110|65|1675],[[66|58110]|[65|1675]],[[2|206|1145]],[],[32527],,612,[117|20],[117|20],22,[2|206|1145],[[2|206|1145]],[32527]
61223,[66|62635|65|1805],[[66|62635]|[65|1805]],[[2|206|1235]],[],[35058],,612,[117|20],[117|20],23,[2|206|1235],[[2|206|1235]],[35058]
61224,[66|67160|65|1935],[[66|67160]|[65|1935]],[[2|206|845]],[],[37589],,612,[117|20],[117|20],24,[2|206|845],[[2|206|845]],[37589]
61225,[66|71685|65|2065],[[66|71685]|[65|2065]],[[2|206|1410]],[],[40120],,612,[117|20],[117|20],25,[2|206|1410],[[2|206|1410]],[40120]
61226,[66|76210|65|2195],[[66|76210]|[65|2195]],[[2|206|1585]],[],[42652],,612,[117|20],[117|20],26,[2|206|1585],[[2|206|1585]],[42652]
61227,[66|80735|65|2325],[[66|80735]|[65|2325]],[[2|206|1585]],[],[45183],,612,[117|20],[117|20],27,[2|206|1585],[[2|206|1585]],[45183]
61228,[66|85260|65|2455],[[66|85260]|[65|2455]],[[2|206|1760]],[],[47714],,612,[117|20],[117|20],28,[2|206|1760],[[2|206|1760]],[47714]
61229,[66|89785|65|2585],[[66|89785]|[65|2585]],[[2|206|1760]],[],[50245],,612,[117|20],[117|20],29,[2|206|1760],[[2|206|1760]],[50245]
61230,[66|107885|65|3090],[[66|107885]|[65|3090]],[[2|206|2640]],[],[60309],,612,[117|20],[117|20],30,[2|206|2640],[[2|206|2640]],[60309]
61231,[66|115425|65|3300],[[66|115425]|[65|3300]],[[2|206|1760]],[],[64500],,612,[117|30],[117|30],31,[2|206|1760],[[2|206|1760]],[64500]
61232,[66|122965|65|3510],[[66|122965]|[65|3510]],[[2|206|1935]],[],[68692],,612,[117|30],[117|30],32,[2|206|1935],[[2|206|1935]],[68692]
61233,[66|130505|65|3720],[[66|130505]|[65|3720]],[[2|206|2115]],[],[72883],,612,[117|30],[117|30],33,[2|206|2115],[[2|206|2115]],[72883]
61234,[66|138045|65|3930],[[66|138045]|[65|3930]],[[2|206|2640]],[],[77074],,612,[117|30],[117|30],34,[2|206|2640],[[2|206|2640]],[77074]
61235,[66|145585|65|4140],[[66|145585]|[65|4140]],[[2|206|2640]],[],[81265],,612,[117|30],[117|30],35,[2|206|2640],[[2|206|2640]],[81265]
61236,[66|153125|65|4350],[[66|153125]|[65|4350]],[[2|206|2640]],[],[85456],,612,[117|30],[117|30],36,[2|206|2640],[[2|206|2640]],[85456]
61237,[66|160665|65|4560],[[66|160665]|[65|4560]],[[2|206|3520]],[],[89647],,612,[117|30],[117|30],37,[2|206|3520],[[2|206|3520]],[89647]
61238,[66|168205|65|4770],[[66|168205]|[65|4770]],[[2|206|3520]],[],[93838],,612,[117|30],[117|30],38,[2|206|3520],[[2|206|3520]],[93838]
61239,[66|175745|65|4980],[[66|175745]|[65|4980]],[[2|206|3520]],[],[98029],,612,[117|30],[117|30],39,[2|206|3520],[[2|206|3520]],[98029]
61240,[66|205905|65|5820],[[66|205905]|[65|5820]],[[2|206|3520]],[],[114794],,612,[117|30],[117|30],40,[2|206|3520],[[2|206|3520]],[114794]
61241,[66|217970|65|6160],[[66|217970]|[65|6160]],[[2|206|2820]],[],[121516],,612,[117|40],[117|40],41,[2|206|2820],[[2|206|2820]],[121516]
61242,[66|230035|65|6500],[[66|230035]|[65|6500]],[[2|206|3100]],[],[128238],,612,[117|40],[117|40],42,[2|206|3100],[[2|206|3100]],[128238]
61243,[66|242100|65|6840],[[66|242100]|[65|6840]],[[2|206|3385]],[],[134960],,612,[117|40],[117|40],43,[2|206|3385],[[2|206|3385]],[134960]
61244,[66|254165|65|7180],[[66|254165]|[65|7180]],[[2|206|4225]],[],[141683],,612,[117|40],[117|40],44,[2|206|4225],[[2|206|4225]],[141683]
61245,[66|266230|65|7520],[[66|266230]|[65|7520]],[[2|206|4225]],[],[148405],,612,[117|40],[117|40],45,[2|206|4225],[[2|206|4225]],[148405]
61246,[66|278295|65|7860],[[66|278295]|[65|7860]],[[2|206|4225]],[],[155127],,612,[117|40],[117|40],46,[2|206|4225],[[2|206|4225]],[155127]
61247,[66|290360|65|8200],[[66|290360]|[65|8200]],[[2|206|5635]],[],[161849],,612,[117|40],[117|40],47,[2|206|5635],[[2|206|5635]],[161849]
61248,[66|302425|65|8540],[[66|302425]|[65|8540]],[[2|206|5635]],[],[168572],,612,[117|40],[117|40],48,[2|206|5635],[[2|206|5635]],[168572]
61249,[66|314490|65|8880],[[66|314490]|[65|8880]],[[2|206|5635]],[],[175294],,612,[117|40],[117|40],49,[2|206|5635],[[2|206|5635]],[175294]
61250,[66|359730|65|10140],[[66|359730]|[65|10140]],[[2|206|5635]],[],[200440],,612,[117|40],[117|40],50,[2|206|5635],[[2|206|5635]],[200440]
61301,[65|210],[[65|210]],[[2|206|180]],[],[840],,613,[117|0],[117|0],1,[2|206|180],[[2|206|180]],[840]
61302,[65|420],[[65|420]],[[2|206|215]],[],[1680],,613,[117|0],[117|0],2,[2|206|215],[[2|206|215]],[1680]
61303,[65|630],[[65|630]],[[2|206|230]],[],[2520],,613,[117|0],[117|0],3,[2|206|230],[[2|206|230]],[2520]
61304,[65|840],[[65|840]],[[2|206|250]],[],[3360],,613,[117|0],[117|0],4,[2|206|250],[[2|206|250]],[3360]
61305,[65|1050],[[65|1050]],[[2|206|265]],[],[4200],,613,[117|0],[117|0],5,[2|206|265],[[2|206|265]],[4200]
61306,[65|1260],[[65|1260]],[[2|206|285]],[],[5040],,613,[117|0],[117|0],6,[2|206|285],[[2|206|285]],[5040]
61307,[65|1470],[[65|1470]],[[2|206|320]],[],[5880],,613,[117|0],[117|0],7,[2|206|320],[[2|206|320]],[5880]
61308,[65|1680],[[65|1680]],[[2|206|355]],[],[6720],,613,[117|0],[117|0],8,[2|206|355],[[2|206|355]],[6720]
61309,[65|1890],[[65|1890]],[[2|206|530]],[],[7560],,613,[117|0],[117|0],9,[2|206|530],[[2|206|530]],[7560]
61310,[65|2730],[[65|2730]],[[2|206|705]],[],[10920],,613,[117|0],[117|0],10,[2|206|705],[[2|206|705]],[10920]
61311,[65|3045],[[65|3045]],[[2|206|530]],[],[12180],,613,[117|10],[117|10],11,[2|206|530],[[2|206|530]],[12180]
61312,[65|3360],[[65|3360]],[[2|206|530]],[],[13440],,613,[117|10],[117|10],12,[2|206|530],[[2|206|530]],[13440]
61313,[65|3675],[[65|3675]],[[2|206|620]],[],[14700],,613,[117|10],[117|10],13,[2|206|620],[[2|206|620]],[14700]
61314,[65|3990],[[65|3990]],[[2|206|620]],[],[15960],,613,[117|10],[117|10],14,[2|206|620],[[2|206|620]],[15960]
