id,Atlas,coordinate,coordinates,dec,findMetaIds,go_target,icon,is_show_hand,jumpParams,map_id,param1,param2,parm,pre_id,reward,scene,slg_underpalace,task_guide,type,UnEffective
145,Atlas/UI_Monster_Head,[-496|502],[-496|502],task_dec_1,[90009],[90009],Head_60156,-1,[90009],9,90009,10,[90009|10],130,3049,1,-1,3,1,-1
131,Atlas/UI_Monster_Head,[-463|489],[-463|489],task_dec_1,[91003],[91003],Head_70024,-1,[91003],9,91003,1,[91003|1],145,3062,1,-1,3,6,-1
132,Atlas/UI_Monster_Head,[-432|451],[-432|451],task_dec_1,[93001],[93001],Head_60129,-1,[93001],10,93001,30,[93001|30],131,3049,1,-1,3,1,-1
133,Atlas/UI_Monster_Head,[-390|472],[-390|472],task_dec_1,[93002],[93002],Head_60130,-1,[93002],10,93002,30,[93002|30],132,3055,1,-1,3,1,-1
134,Atlas/UI_Monster_Head,[-357|494],[-357|494],task_dec_1,[93003],[93003],Head_60131,-1,[93003],10,93003,10,[93003|10],133,3049,1,-1,3,1,-1
135,Atlas/UI_Monster_Head,[-294|489],[-294|489],task_dec_1,[93004],[93004],Head_60138,-1,[93004],10,93004,40,[93004|40],134,3062,1,-1,3,1,-1
136,Atlas/UI_Monster_Head,[-276|462],[-276|462],task_dec_1,[93006],[93006],Head_60139,-1,[93006],10,93006,30,[93006|30],135,3049,1,-1,3,1,-1
137,Atlas/UI_Monster_Head,[-216|480],[-216|480],task_dec_1,[93007],[93007],Head_60081,-1,[93007],10,93007,40,[93007|40],136,3055,1,-1,3,6,-1
138,Atlas/UI_Monster_Head,[-257|503],[-257|503],task_dec_1,[93008],[93008],Head_60134,-1,[93008],10,93008,40,[93008|40],137,3049,1,-1,3,1,-1
139,Atlas/UI_Monster_Head,[-209|550],[-209|550],task_dec_1,[93009],[93009],Head_60093,-1,[93009],10,93009,30,[93009|30],138,3062,1,-1,3,1,-1
