id,break_level,conversion_rate,cost,costs,decomposed_get,desc,desc_2,desc_parameter,extra,extras,fightforce,pet_break_scale,pet_id,pet_info_scale,pet_lv_max,pet_lv_min,pet_skin_id,quality,scene_scale,show_star,skill,skill_level,special
8450022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840005,1,115,90,56073,5,0.7,5,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8450023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840005,1,120,95,56074,6,0.7,0,[8400501|8400502|8400503|8400504],[4|4|3|1],-1
8460005,5,3600,,[],-1,,,,,[],6675,1,840006,1,35,0,56081,3,0.7,0,[8400601|8400602|8400603|8400604],[1|1|0|0],-1
8460006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840006,1,40,10,56081,3,0.7,1,[8400601|8400602|8400603|8400604],[1|1|0|0],-1
8460007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840006,1,45,20,56081,3,0.7,2,[8400601|8400602|8400603|8400604],[2|1|0|0],-1
8460008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840006,1,50,30,56081,3,0.7,3,[8400601|8400602|8400603|8400604],[2|2|0|0],-1
8460009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840006,1,55,35,56082,3,0.7,4,[8400601|8400602|8400603|8400604],[3|2|0|0],-1
8460010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840006,1,60,40,56082,3,0.7,5,[8400601|8400602|8400603|8400604],[3|3|0|0],-1
8460011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840006,1,70,45,56082,4,0.7,0,[8400601|8400602|8400603|8400604],[3|3|1|0],-1
8460012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840006,1,80,50,56082,4,0.7,1,[8400601|8400602|8400603|8400604],[4|3|1|0],-1
8460013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840006,1,90,55,56083,4,0.7,2,[8400601|8400602|8400603|8400604],[4|3|2|0],-1
8460014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840006,1,90,60,56083,4,0.7,3,[8400601|8400602|8400603|8400604],[4|4|2|0],-1
8460015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840006,1,90,65,56083,4,0.7,4,[8400601|8400602|8400603|8400604],[4|4|2|0],-1
8460016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840006,1,90,70,56083,4,0.7,5,[8400601|8400602|8400603|8400604],[4|4|3|0],-1
8460017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840006,1,90,75,56083,5,0.7,0,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840006,1,95,80,56083,5,0.7,1,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840006,1,100,80,56083,5,0.7,2,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840006,1,105,85,56083,5,0.7,3,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840006,1,110,85,56083,5,0.7,4,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840006,1,115,90,56083,5,0.7,5,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8460023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840006,1,120,95,56084,6,0.7,0,[8400601|8400602|8400603|8400604],[4|4|3|1],-1
8470005,5,3600,,[],-1,,,,,[],6675,1,840007,1,35,0,56091,3,1,0,[8400701|8400702|8400703|8400704],[1|1|0|0],-1
8470006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840007,1,40,10,56091,3,1,1,[8400701|8400702|8400703|8400704],[1|1|0|0],-1
8470007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840007,1,45,20,56091,3,1,2,[8400701|8400702|8400703|8400704],[2|1|0|0],-1
8470008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840007,1,50,30,56091,3,1,3,[8400701|8400702|8400703|8400704],[2|2|0|0],-1
8470009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840007,1,55,35,56092,3,1,4,[8400701|8400702|8400703|8400704],[3|2|0|0],-1
8470010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840007,1,60,40,56092,3,1,5,[8400701|8400702|8400703|8400704],[3|3|0|0],-1
8470011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840007,1,70,45,56092,4,1,0,[8400701|8400702|8400703|8400704],[3|3|1|0],-1
8470012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840007,1,80,50,56092,4,1,1,[8400701|8400702|8400703|8400704],[4|3|1|0],-1
8470013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840007,1,90,55,56093,4,1,2,[8400701|8400702|8400703|8400704],[4|3|2|0],-1
8470014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840007,1,90,60,56093,4,1,3,[8400701|8400702|8400703|8400704],[4|4|2|0],-1
8470015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840007,1,90,65,56093,4,1,4,[8400701|8400702|8400703|8400704],[4|4|2|0],-1
8470016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840007,1,90,70,56093,4,1,5,[8400701|8400702|8400703|8400704],[4|4|3|0],-1
8470017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840007,1,90,75,56093,5,1,0,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840007,1,95,80,56093,5,1,1,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840007,1,100,80,56093,5,1,2,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840007,1,105,85,56093,5,1,3,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840007,1,110,85,56093,5,1,4,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840007,1,115,90,56093,5,1,5,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8470023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840007,1,120,95,56094,6,1,0,[8400701|8400702|8400703|8400704],[4|4|3|1],-1
8480005,5,3600,,[],-1,,,,,[],6675,1,840008,1,35,0,56101,3,1,0,[8400801|8400802|8400803|8400804],[1|1|0|0],-1
8480006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840008,1,40,10,56101,3,1,1,[8400801|8400802|8400803|8400804],[1|1|0|0],-1
8480007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840008,1,45,20,56101,3,1,2,[8400801|8400802|8400803|8400804],[2|1|0|0],-1
8480008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840008,1,50,30,56101,3,1,3,[8400801|8400802|8400803|8400804],[2|2|0|0],-1
8480009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840008,1,55,35,56102,3,1,4,[8400801|8400802|8400803|8400804],[3|2|0|0],-1
8480010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840008,1,60,40,56102,3,1,5,[8400801|8400802|8400803|8400804],[3|3|0|0],-1
8480011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840008,1,70,45,56102,4,1,0,[8400801|8400802|8400803|8400804],[3|3|1|0],-1
8480012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840008,1,80,50,56102,4,1,1,[8400801|8400802|8400803|8400804],[4|3|1|0],-1
8480013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840008,1,90,55,56103,4,1,2,[8400801|8400802|8400803|8400804],[4|3|2|0],-1
8480014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840008,1,90,60,56103,4,1,3,[8400801|8400802|8400803|8400804],[4|4|2|0],-1
8480015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840008,1,90,65,56103,4,1,4,[8400801|8400802|8400803|8400804],[4|4|2|0],-1
8480016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840008,1,90,70,56103,4,1,5,[8400801|8400802|8400803|8400804],[4|4|3|0],-1
8480017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840008,1,90,75,56103,5,1,0,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840008,1,95,80,56103,5,1,1,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840008,1,100,80,56103,5,1,2,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840008,1,105,85,56103,5,1,3,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840008,1,110,85,56103,5,1,4,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840008,1,115,90,56103,5,1,5,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8480023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840008,1,120,95,56104,6,1,0,[8400801|8400802|8400803|8400804],[4|4|3|1],-1
8790005,5,3600,,[],-1,,,,,[],6675,1,840009,1,35,0,56111,3,1,0,[8400901|8400902|8400903|8400904],[1|1|0|0],-1
8790006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840009,1,40,10,56111,3,1,1,[8400901|8400902|8400903|8400904],[1|1|0|0],-1
8790007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840009,1,45,20,56111,3,1,2,[8400901|8400902|8400903|8400904],[2|1|0|0],-1
8790008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840009,1,50,30,56111,3,1,3,[8400901|8400902|8400903|8400904],[2|2|0|0],-1
8790009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840009,1,55,35,56112,3,1,4,[8400901|8400902|8400903|8400904],[3|2|0|0],-1
8790010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840009,1,60,40,56112,3,1,5,[8400901|8400902|8400903|8400904],[3|3|0|0],-1
8790011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840009,1,70,45,56112,4,1,0,[8400901|8400902|8400903|8400904],[3|3|1|0],-1
8790012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840009,1,80,50,56112,4,1,1,[8400901|8400902|8400903|8400904],[4|3|1|0],-1
8790013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840009,1,90,55,56113,4,1,2,[8400901|8400902|8400903|8400904],[4|3|2|0],-1
8790014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840009,1,90,60,56113,4,1,3,[8400901|8400902|8400903|8400904],[4|4|2|0],-1
8790015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840009,1,90,65,56113,4,1,4,[8400901|8400902|8400903|8400904],[4|4|2|0],-1
8790016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840009,1,90,70,56113,4,1,5,[8400901|8400902|8400903|8400904],[4|4|3|0],-1
8790017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840009,1,90,75,56113,5,1,0,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840009,1,95,80,56113,5,1,1,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840009,1,100,80,56113,5,1,2,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840009,1,105,85,56113,5,1,3,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840009,1,110,85,56113,5,1,4,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840009,1,115,90,56113,5,1,5,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8790023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840009,1,120,95,56114,6,1,0,[8400901|8400902|8400903|8400904],[4|4|3|1],-1
8490005,5,3600,,[],-1,,,,,[],6675,2,840010,2,35,0,56121,3,2,0,[8401001|8401002|8401003|8401004],[1|1|0|0],-1
8490006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,2,840010,2,40,10,56121,3,2,1,[8401001|8401002|8401003|8401004],[1|1|0|0],-1
8490007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,2,840010,2,45,20,56121,3,2,2,[8401001|8401002|8401003|8401004],[2|1|0|0],-1
8490008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,2,840010,2,50,30,56121,3,2,3,[8401001|8401002|8401003|8401004],[2|2|0|0],-1
8490009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,2,840010,2,55,35,56122,3,2,4,[8401001|8401002|8401003|8401004],[3|2|0|0],-1
8490010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,2,840010,2,60,40,56122,3,2,5,[8401001|8401002|8401003|8401004],[3|3|0|0],-1
8490011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,2,840010,2,70,45,56122,4,2,0,[8401001|8401002|8401003|8401004],[3|3|1|0],-1
8490012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,2,840010,2,80,50,56122,4,2,1,[8401001|8401002|8401003|8401004],[4|3|1|0],-1
8490013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,2,840010,2,90,55,56123,4,2,2,[8401001|8401002|8401003|8401004],[4|3|2|0],-1
8490014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,2,840010,2,90,60,56123,4,2,3,[8401001|8401002|8401003|8401004],[4|4|2|0],-1
8490015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,2,840010,2,90,65,56123,4,2,4,[8401001|8401002|8401003|8401004],[4|4|2|0],-1
8490016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,2,840010,2,90,70,56123,4,2,5,[8401001|8401002|8401003|8401004],[4|4|3|0],-1
8490017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,2,840010,2,90,75,56123,5,2,0,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,2,840010,2,95,80,56123,5,2,1,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,2,840010,2,100,80,56123,5,2,2,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,2,840010,2,105,85,56123,5,2,3,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,2,840010,2,110,85,56123,5,2,4,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,2,840010,2,115,90,56123,5,2,5,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8490023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,2,840010,2,120,95,56124,6,2,0,[8401001|8401002|8401003|8401004],[4|4|3|1],-1
8500005,5,3600,,[],-1,,,,,[],6675,1,840011,1,35,0,56131,3,1,0,[8401101|8401102|8401103|8401104],[1|1|0|0],-1
8500006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840011,1,40,10,56131,3,1,1,[8401101|8401102|8401103|8401104],[1|1|0|0],-1
8500007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840011,1,45,20,56131,3,1,2,[8401101|8401102|8401103|8401104],[2|1|0|0],-1
8500008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840011,1,50,30,56131,3,1,3,[8401101|8401102|8401103|8401104],[2|2|0|0],-1
8500009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840011,1,55,35,56132,3,1,4,[8401101|8401102|8401103|8401104],[3|2|0|0],-1
8500010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840011,1,60,40,56132,3,1,5,[8401101|8401102|8401103|8401104],[3|3|0|0],-1
8500011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840011,1,70,45,56132,4,1,0,[8401101|8401102|8401103|8401104],[3|3|1|0],-1
8500012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840011,1,80,50,56132,4,1,1,[8401101|8401102|8401103|8401104],[4|3|1|0],-1
8500013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840011,1,90,55,56133,4,1,2,[8401101|8401102|8401103|8401104],[4|3|2|0],-1
8500014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840011,1,90,60,56133,4,1,3,[8401101|8401102|8401103|8401104],[4|4|2|0],-1
8500015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840011,1,90,65,56133,4,1,4,[8401101|8401102|8401103|8401104],[4|4|2|0],-1
8500016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840011,1,90,70,56133,4,1,5,[8401101|8401102|8401103|8401104],[4|4|3|0],-1
8500017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840011,1,90,75,56133,5,1,0,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840011,1,95,80,56133,5,1,1,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840011,1,100,80,56133,5,1,2,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840011,1,105,85,56133,5,1,3,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840011,1,110,85,56133,5,1,4,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840011,1,115,90,56133,5,1,5,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8500023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840011,1,120,95,56134,6,1,0,[8401101|8401102|8401103|8401104],[4|4|3|1],-1
8510005,5,3600,,[],-1,,,,,[],6675,1,840012,1,35,0,56141,3,1,0,[8401201|8401202|8401203|8401204],[1|1|0|0],-1
8510006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840012,1,40,10,56141,3,1,1,[8401201|8401202|8401203|8401204],[1|1|0|0],-1
8510007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840012,1,45,20,56141,3,1,2,[8401201|8401202|8401203|8401204],[2|1|0|0],-1
8510008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840012,1,50,30,56141,3,1,3,[8401201|8401202|8401203|8401204],[2|2|0|0],-1
8510009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840012,1,55,35,56142,3,1,4,[8401201|8401202|8401203|8401204],[3|2|0|0],-1
8510010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840012,1,60,40,56142,3,1,5,[8401201|8401202|8401203|8401204],[3|3|0|0],-1
8510011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840012,1,70,45,56142,4,1,0,[8401201|8401202|8401203|8401204],[3|3|1|0],-1
8510012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840012,1,80,50,56142,4,1,1,[8401201|8401202|8401203|8401204],[4|3|1|0],-1
8510013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840012,1,90,55,56143,4,1,2,[8401201|8401202|8401203|8401204],[4|3|2|0],-1
8510014,14,7200,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],31200,,,,,[],587200,1,840012,1,90,60,56143,4,1,3,[8401201|8401202|8401203|8401204],[4|4|2|0],-1
8510015,15,7600,[1|5|3|2|5|15],[[1|5|3]|[2|5|15]],42000,,,,,[],706475,1,840012,1,90,65,56143,4,1,4,[8401201|8401202|8401203|8401204],[4|4|2|0],-1
8510016,16,8000,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],53400,,,,,[],893760,1,840012,1,90,70,56143,4,1,5,[8401201|8401202|8401203|8401204],[4|4|3|0],-1
8510017,17,8400,[1|5|5|2|5|15],[[1|5|5]|[2|5|15]],65400,,,,,[],1044680,1,840012,1,90,75,56143,5,1,0,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510018,18,8800,[1|5|3|2|5|10],[[1|5|3]|[2|5|10]],73200,,,,,[],1152480,1,840012,1,95,80,56143,5,1,1,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510019,19,9200,[1|5|4|2|5|15],[[1|5|4]|[2|5|15]],84600,,,,,[],1264200,1,840012,1,100,80,56143,5,1,2,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510020,20,9600,[1|5|5|2|5|20],[[1|5|5]|[2|5|20]],99600,,,,,[],1379840,1,840012,1,105,85,56143,5,1,3,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510021,21,10000,[1|5|6|2|5|20],[[1|5|6]|[2|5|20]],115200,,,,,[],1499400,1,840012,1,110,85,56143,5,1,4,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510022,22,10400,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],138000,,,,,[],1622880,1,840012,1,115,90,56143,5,1,5,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8510023,23,10800,[1|5|8|2|5|30],[[1|5|8]|[2|5|30]],160800,,,,,[],1750280,1,840012,1,120,95,56144,6,1,0,[8401201|8401202|8401203|8401204],[4|4|3|1],-1
8511005,5,3600,,[],-1,,,,,[],6675,1,840013,1,35,0,56151,3,1,0,[8401301|8401302|8401303|8401304],[1|1|0|0],-1
8511006,6,4000,[1|5|1],[[1|5|1]],600,,,,,[],21360,1,840013,1,40,10,56151,3,1,1,[8401301|8401302|8401303|8401304],[1|1|0|0],-1
8511007,7,4400,[2|5|3],[[2|5|3]],2400,,,,,[],48180,1,840013,1,45,20,56151,3,1,2,[8401301|8401302|8401303|8401304],[2|1|0|0],-1
8511008,8,4800,[1|5|1],[[1|5|1]],3000,,,,,[],81760,1,840013,1,50,30,56151,3,1,3,[8401301|8401302|8401303|8401304],[2|2|0|0],-1
8511009,9,5200,[2|5|3],[[2|5|3]],4800,,,,,[],134725,1,840013,1,55,35,56152,3,1,4,[8401301|8401302|8401303|8401304],[3|2|0|0],-1
8511010,10,5600,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],8400,,,,,[],190200,1,840013,1,60,40,56152,3,1,5,[8401301|8401302|8401303|8401304],[3|3|0|0],-1
8511011,11,6000,[1|5|1|2|5|5],[[1|5|1]|[2|5|5]],12000,,,,,[],275310,1,840013,1,70,45,56152,4,1,0,[8401301|8401302|8401303|8401304],[3|3|1|0],-1
8511012,12,6400,[1|5|2|2|5|5],[[1|5|2]|[2|5|5]],16200,,,,,[],355680,1,840013,1,80,50,56152,4,1,1,[8401301|8401302|8401303|8401304],[4|3|1|0],-1
8511013,13,6800,[1|5|2|2|5|10],[[1|5|2]|[2|5|10]],23400,,,,,[],478935,1,840013,1,90,55,56153,4,1,2,[8401301|8401302|8401303|8401304],[4|3|2|0],-1
