id,addition,daily_banner,dailyBanners,day,defeat_reward,defeatRewards,double_reward,form_group,giftPushIdArray,gifts,kill_day,mail_defeat,mail_win,name,reward,reward_condition,rewardConditons,rewards,score,score_limit,target_score,targetScores,win_reward,winRewards
605,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1230215],[0|1230215],11100201,601,[411125051|411125052|411125053|411125054|411125055],[411125051|411125052|411125053|411125054|411125055],-1,1052,1051,race_alliance_name_day5,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11903|11301|11302|11303|11304|11305|11306|11307|11308|11309|11310,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1230205],[2|1230205]
606,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1230216],[0|1230216],11100201,601,[],,1,1052,1051,race_alliance_name_day6,[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1230001|1230002|1230003|1230004|1230005|1230006|1230007|1230008|1230009],11999|11904|11501|11502|11503|11504|11505|11506|11507|11508|11509|11510|11401|11402|11403|11404|11405|11406|11407|11408|11409|11410|11411|11412|11413|11414|11415|11416|11417|11418|11419|11420,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1230206],[4|1230206]
701,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,701,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|82001|82101|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
702,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,701,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|83001|83101|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
703,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,701,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|11874|81001|81002|81003|81101|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033|81201|81202|81203|81204|81205|81206|81207|81208|81209|81210|81211|81301,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
704,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,701,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|11874|84001|84014|84015|84016|98321|98322,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
705,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,701,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|85301|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
706,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,701,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|86301|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|11421|11422|11423|11424|11425|11426|11427|11428|11429|11430|11431|11432|11433|11434|11435|11436|11437|11438|11439|11440|11441|11442|11443|11444|11445|11446|11447|11448|11449|11450|11751|11752,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
801,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,801,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11700|11901|11801|11802|11803|84100|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
802,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,801,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11800|11902|11801|11802|11803|84100|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
803,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,801,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11874|11001|11002|11003|11100|11101|11102|11103|11104|11105|11106|11107|11108|11109|11110|11111|11112|11113|11114|11115|11116|11117|11118|11119|11120|11121|11122|11123|11124|11125|11126|11127|11128|11129|11130|11201|11202|11203|11204|11205|11206|11207|11208|11209|11210|11212|11211,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
804,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,801,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11874|11600|11604|11605|11606|98321|98322,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
805,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,801,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11903|11301|11302|11303|11304|11305|11306|11307|11308|11309|11310,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
806,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,801,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11904|11501|11502|11503|11504|11505|11506|11507|11508|11509|11510|11421|11422|11423|11424|11425|11426|11427|11428|11429|11430|11431|11432|11433|11434|11435|11436|11437|11438|11439|11440|11441|11442|11443|11444|11445|11446|11447|11448|11449|11450|11751|11752,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
1101,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,1101,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|82001|82101|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
1102,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,1101,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|83001|83101|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
1103,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,1101,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|11874|81001|81002|81003|81101|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033|81201|81202|81203|81204|81205|81206|81207|81208|81209|81210|81211|81301,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
1104,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,1101,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|11874|84001|84014|84015|84016|98321|98322,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
1105,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,1101,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11881|11884|85301|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010|85011,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
1106,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,1101,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11881|11884|86301|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|86211|11421|11422|11423|11424|11425|11426|11427|11428|11429|11430|11451|11431|11432|11433|11434|11435|11436|11437|11438|11439|11440|11452|11441|11442|11443|11444|11445|11446|11447|11448|11449|11450|11453|11751|11752,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
1201,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,1201,[11180021|11180022|11180023|11180024|11180025],[11180021|11180022|11180023|11180024|11180025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11700|11901|11801|11802|11803|84100|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
1202,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,1201,[11180031|11180032|11180033|11180034|11180035],[11180031|11180032|11180033|11180034|11180035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11800|11902|11801|11802|11803|84100|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
1203,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,1201,[11180011|11180012|11180013|11180014|11180015],[11180011|11180012|11180013|11180014|11180015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11874|11001|11002|11003|11100|11101|11102|11103|11104|11105|11106|11107|11108|11109|11110|11111|11112|11113|11114|11115|11116|11117|11118|11119|11120|11121|11122|11123|11124|11125|11126|11127|11128|11129|11130|11201|11202|11203|11204|11205|11206|11207|11208|11209|11210|11212|11211,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
1204,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,1201,[11180041|11180042|11180043|11180044|11180045],[11180041|11180042|11180043|11180044|11180045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11871|11872|11873|11874|11600|11604|11605|11606|98321|98322,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
1205,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,1201,[11180051|11180052|11180053|11180054|11180055],[11180051|11180052|11180053|11180054|11180055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11881|11884|11903|11301|11302|11303|11304|11305|11306|11307|11308|11309|11310|11311,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
1206,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,1201,[11180061|11180062|11180063|11180064|11180065],[11180061|11180062|11180063|11180064|11180065],1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11881|11884|11904|11501|11502|11503|11504|11505|11506|11507|11508|11509|11510|11511|11421|11422|11423|11424|11425|11426|11427|11428|11429|11430|11451|11431|11432|11433|11434|11435|11436|11437|11438|11439|11440|11452|11441|11442|11443|11444|11445|11446|11447|11448|11449|11450|11453|11751|11752,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
1111,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,1111,[511277021|511277022|511277023|511277024|511277025],[511277021|511277022|511277023|511277024|511277025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|82001|82101|11891|11892|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
1112,1083,[Activity_204|Textures/ActivityList/img_junbei_04],[Activity_204|Textures/ActivityList/img_junbei_04],2,[0|1220212],[0|1220212],11100201,1111,[511277031|511277032|511277033|511277034|511277035],[511277031|511277032|511277033|511277034|511277035],-1,1052,1051,race_alliance_name_day3,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|83001|83101|11891|11892|82002|82003|83002|84100|84103|84104|84105,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220202],[2|1220202]
1113,1079,[Activity_206|Textures/ActivityList/img_junbei_06],[Activity_206|Textures/ActivityList/img_junbei_06],3,[0|1220213],[0|1220213],11100201,1111,[511277011|511277012|511277013|511277014|511277015],[511277011|511277012|511277013|511277014|511277015],-1,1052,1051,race_alliance_name_day1,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|81001|81002|81003|81101|81004|81005|81006|81007|81008|81009|81010|81011|81012|81013|81014|81015|81016|81017|81018|81019|81020|81021|81022|81023|81024|81025|81026|81027|81028|81029|81030|81031|81032|81033|81201|81202|81203|81204|81205|81206|81207|81208|81209|81210|81211|81301,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220203],[2|1220203]
1114,1082,[Activity_203|Textures/ActivityList/img_junbei_03],[Activity_203|Textures/ActivityList/img_junbei_03],4,[0|1220214],[0|1220214],11100201,1111,[511277041|511277042|511277043|511277044|511277045],[511277041|511277042|511277043|511277044|511277045],-1,1052,1051,race_alliance_name_day4,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11871|11872|11873|84001|84014|84015|84016|98321|98322,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220204],[2|1220204]
1115,1081,[Activity_205|Textures/ActivityList/img_junbei_05],[Activity_205|Textures/ActivityList/img_junbei_05],5,[0|1220215],[0|1220215],11100201,1111,[511277051|511277052|511277053|511277054|511277055],[511277051|511277052|511277053|511277054|511277055],-1,1052,1051,race_alliance_name_day5,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11881|11884|85301|85001|85002|85003|85004|85005|85006|85007|85008|85009|85010|85011,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220205],[2|1220205]
1116,1085,[Activity_201|Textures/ActivityList/img_junbei_01],[Activity_201|Textures/ActivityList/img_junbei_01],6,[0|1220216],[0|1220216],11100201,1111,[],,1,1052,1051,race_alliance_name_day6,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],87001|11881|11884|86301|86201|86202|86203|86204|86205|86206|86207|86208|86209|86210|86211|11421|11422|11423|11424|11425|11426|11427|11428|11429|11430|11451|11431|11432|11433|11434|11435|11436|11437|11438|11439|11440|11452|11441|11442|11443|11444|11445|11446|11447|11448|11449|11450|11453|11751|11752,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[4|1220206],[4|1220206]
1211,1080,[Activity_202|Textures/ActivityList/img_junbei_02],[Activity_202|Textures/ActivityList/img_junbei_02],1,[0|1220211],[0|1220211],11100201,1211,[511277021|511277022|511277023|511277024|511277025],[511277021|511277022|511277023|511277024|511277025],-1,1052,1051,race_alliance_name_day2,[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[0|0|0|11020201|11020201|11020201|11050201|11050201|11050201],[1220001|1220002|1220003|1220004|1220005|1220006|1220007|1220008|1220009],11999|11700|11901|11891|11892|11801|11802|11803|84100|11663|11664|11665|11666|11667|11668|11861|11862,6000,[12000|36000|84000|180000|270000|360000|480000|640000|800000],[12000|36000|84000|180000|270000|360000|480000|640000|800000],[2|1220201],[2|1220201]
