id,army_count,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attrList,downgrade,exp,exp_die,fightforce,level,mainAttribute,prebuilding_level,quality,unlock_lv,unlock_lv_new
16048,144,[3|1235],[4|8843],[10|5000],[5|350],[57|0],[24|0],[1021|880],[[3|1235]|[4|8843]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|880]],0,800,-1,8477,48,1,[117|8],6,3,1
16049,147,[3|1254],[4|8973],[10|5000],[5|350],[57|0],[24|0],[1021|890],[[3|1254]|[4|8973]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|890]],0,900,-1,8605,49,1,[117|8],6,3,1
16050,150,[3|1274],[4|9103],[10|5000],[5|350],[57|0],[24|0],[1021|900],[[3|1274]|[4|9103]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|900]],0,1000,-1,8737,50,1,[117|9],6,4,1
16051,153,[3|1303],[4|9297],[10|5000],[5|350],[57|0],[24|0],[1021|910],[[3|1303]|[4|9297]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|910]],0,1100,-1,8930,51,1,[117|9],6,4,1
16052,156,[3|1332],[4|9491],[10|5000],[5|350],[57|0],[24|0],[1021|920],[[3|1332]|[4|9491]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|920]],0,1200,-1,9124,52,1,[117|9],6,4,1
16053,159,[3|1361],[4|9686],[10|5000],[5|350],[57|0],[24|0],[1021|930],[[3|1361]|[4|9686]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|930]],0,1400,-1,9318,53,1,[117|9],6,4,1
16054,162,[3|1390],[4|9880],[10|5000],[5|350],[57|0],[24|0],[1021|940],[[3|1390]|[4|9880]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|940]],0,1600,-1,9512,54,1,[117|9],6,4,1
16055,165,[3|1419],[4|10075],[10|5000],[5|350],[57|0],[24|0],[1021|950],[[3|1419]|[4|10075]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|950]],0,1800,-1,9706,55,1,[117|10],6,4,1
16056,168,[3|1448],[4|10269],[10|5000],[5|350],[57|0],[24|0],[1021|960],[[3|1448]|[4|10269]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|960]],0,2000,-1,9899,56,1,[117|10],6,4,1
16057,171,[3|1478],[4|10463],[10|5000],[5|350],[57|0],[24|0],[1021|970],[[3|1478]|[4|10463]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|970]],0,2200,-1,10097,57,1,[117|10],6,4,1
16058,174,[3|1507],[4|10658],[10|5000],[5|350],[57|0],[24|0],[1021|980],[[3|1507]|[4|10658]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|980]],0,2400,-1,10291,58,1,[117|10],6,4,1
16059,177,[3|1536],[4|10852],[10|5000],[5|350],[57|0],[24|0],[1021|990],[[3|1536]|[4|10852]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|990]],0,2600,-1,10484,59,1,[117|10],6,4,1
16060,180,[3|1565],[4|11047],[10|5000],[5|350],[57|0],[24|0],[1021|1000],[[3|1565]|[4|11047]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1000]],0,2800,-1,10678,60,1,[117|11],6,4,1
16061,183,[3|1594],[4|11241],[10|5000],[5|350],[57|0],[24|0],[1021|1010],[[3|1594]|[4|11241]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1010]],0,3000,-1,10872,61,1,[117|11],6,4,1
16062,186,[3|1623],[4|11435],[10|5000],[5|350],[57|0],[24|0],[1021|1020],[[3|1623]|[4|11435]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1020]],0,3200,-1,11066,62,1,[117|11],6,4,1
16063,189,[3|1653],[4|11630],[10|5000],[5|350],[57|0],[24|0],[1021|1030],[[3|1653]|[4|11630]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1030]],0,3400,-1,11264,63,1,[117|11],6,4,1
16064,192,[3|1682],[4|11824],[10|5000],[5|350],[57|0],[24|0],[1021|1040],[[3|1682]|[4|11824]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1040]],0,3600,-1,11457,64,1,[117|11],6,4,1
16065,195,[3|1711],[4|12019],[10|5000],[5|350],[57|0],[24|0],[1021|1050],[[3|1711]|[4|12019]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1050]],0,3800,-1,11651,65,1,[117|12],6,4,1
16066,198,[3|1740],[4|12213],[10|5000],[5|350],[57|0],[24|0],[1021|1060],[[3|1740]|[4|12213]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1060]],0,4100,-1,11845,66,1,[117|12],6,4,1
16067,201,[3|1769],[4|12407],[10|5000],[5|350],[57|0],[24|0],[1021|1070],[[3|1769]|[4|12407]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1070]],0,4400,-1,12038,67,1,[117|12],6,4,1
16068,204,[3|1798],[4|12602],[10|5000],[5|350],[57|0],[24|0],[1021|1080],[[3|1798]|[4|12602]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1080]],0,4700,-1,12232,68,1,[117|12],6,4,1
16069,207,[3|1828],[4|12796],[10|5000],[5|350],[57|0],[24|0],[1021|1090],[[3|1828]|[4|12796]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1090]],0,5000,-1,12430,69,1,[117|12],6,4,1
16070,210,[3|1857],[4|12991],[10|5000],[5|350],[57|0],[24|0],[1021|1100],[[3|1857]|[4|12991]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1100]],0,5300,-1,12624,70,1,[117|13],6,5,1
16071,213,[3|1896],[4|13250],[10|5000],[5|350],[57|0],[24|0],[1021|1110],[[3|1896]|[4|13250]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1110]],0,5600,-1,12884,71,1,[117|13],6,5,1
16072,216,[3|1934],[4|13509],[10|5000],[5|350],[57|0],[24|0],[1021|1120],[[3|1934]|[4|13509]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1120]],0,5900,-1,13139,72,1,[117|13],6,5,1
16073,219,[3|1973],[4|13768],[10|5000],[5|350],[57|0],[24|0],[1021|1130],[[3|1973]|[4|13768]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1130]],0,6200,-1,13399,73,1,[117|13],6,5,1
16074,222,[3|2012],[4|14027],[10|5000],[5|350],[57|0],[24|0],[1021|1140],[[3|2012]|[4|14027]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1140]],0,6500,-1,13658,74,1,[117|13],6,5,1
16075,225,[3|2051],[4|14287],[10|5000],[5|350],[57|0],[24|0],[1021|1150],[[3|2051]|[4|14287]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1150]],0,6800,-1,13918,75,1,[117|14],6,5,1
16076,228,[3|2090],[4|14546],[10|5000],[5|350],[57|0],[24|0],[1021|1160],[[3|2090]|[4|14546]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1160]],0,7100,-1,14178,76,1,[117|14],6,5,1
16077,231,[3|2129],[4|14805],[10|5000],[5|350],[57|0],[24|0],[1021|1170],[[3|2129]|[4|14805]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1170]],0,7400,-1,14438,77,1,[117|14],6,5,1
16078,234,[3|2168],[4|15064],[10|5000],[5|350],[57|0],[24|0],[1021|1180],[[3|2168]|[4|15064]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1180]],0,7700,-1,14697,78,1,[117|14],6,5,1
16079,237,[3|2207],[4|15323],[10|5000],[5|350],[57|0],[24|0],[1021|1190],[[3|2207]|[4|15323]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1190]],0,8000,-1,14957,79,1,[117|14],6,5,1
16080,240,[3|2246],[4|15583],[10|5000],[5|350],[57|0],[24|0],[1021|1200],[[3|2246]|[4|15583]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1200]],0,8300,-1,15217,80,1,[117|15],6,5,1
16081,243,[3|2284],[4|15842],[10|5000],[5|350],[57|0],[24|0],[1021|1210],[[3|2284]|[4|15842]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1210]],0,8600,-1,15472,81,1,[117|15],6,5,1
16082,246,[3|2323],[4|16101],[10|5000],[5|350],[57|0],[24|0],[1021|1220],[[3|2323]|[4|16101]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1220]],0,9000,-1,15732,82,1,[117|15],6,5,1
16083,249,[3|2362],[4|16360],[10|5000],[5|350],[57|0],[24|0],[1021|1230],[[3|2362]|[4|16360]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1230]],0,9400,-1,15992,83,1,[117|15],6,5,1
16084,252,[3|2401],[4|16619],[10|5000],[5|350],[57|0],[24|0],[1021|1240],[[3|2401]|[4|16619]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1240]],0,9800,-1,16251,84,1,[117|15],6,5,1
16085,255,[3|2440],[4|16879],[10|5000],[5|350],[57|0],[24|0],[1021|1250],[[3|2440]|[4|16879]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1250]],0,10200,-1,16511,85,1,[117|15],6,5,1
16086,258,[3|2479],[4|17138],[10|5000],[5|350],[57|0],[24|0],[1021|1260],[[3|2479]|[4|17138]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1260]],0,10600,-1,16771,86,1,[117|15],6,5,1
16087,261,[3|2518],[4|17397],[10|5000],[5|350],[57|0],[24|0],[1021|1270],[[3|2518]|[4|17397]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1270]],0,11000,-1,17030,87,1,[117|15],6,5,1
16088,264,[3|2557],[4|17656],[10|5000],[5|350],[57|0],[24|0],[1021|1280],[[3|2557]|[4|17656]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1280]],0,11400,-1,17290,88,1,[117|15],6,5,1
16089,267,[3|2595],[4|17915],[10|5000],[5|350],[57|0],[24|0],[1021|1290],[[3|2595]|[4|17915]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1290]],0,11800,-1,17546,89,1,[117|15],6,5,1
16090,270,[3|2634],[4|18175],[10|5000],[5|350],[57|0],[24|0],[1021|1300],[[3|2634]|[4|18175]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1300]],0,12200,-1,17806,90,1,[117|16],6,6,1
16091,273,[3|2686],[4|18520],[10|5000],[5|350],[57|0],[24|0],[1021|1310],[[3|2686]|[4|18520]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1310]],0,12600,-1,18152,91,1,[117|16],6,6,1
16092,276,[3|2738],[4|18866],[10|5000],[5|350],[57|0],[24|0],[1021|1320],[[3|2738]|[4|18866]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1320]],0,13000,-1,18498,92,1,[117|16],6,6,1
16093,279,[3|2790],[4|19211],[10|5000],[5|350],[57|0],[24|0],[1021|1330],[[3|2790]|[4|19211]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1330]],0,13400,-1,18844,93,1,[117|16],6,6,1
16094,282,[3|2842],[4|19557],[10|5000],[5|350],[57|0],[24|0],[1021|1340],[[3|2842]|[4|19557]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1340]],0,13800,-1,19190,94,1,[117|16],6,6,1
16095,285,[3|2894],[4|19903],[10|5000],[5|350],[57|0],[24|0],[1021|1350],[[3|2894]|[4|19903]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1350]],0,14200,-1,19537,95,1,[117|17],6,6,1
16096,288,[3|2945],[4|20248],[10|5000],[5|350],[57|0],[24|0],[1021|1360],[[3|2945]|[4|20248]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1360]],0,14600,-1,19879,96,1,[117|17],6,6,1
16097,291,[3|2997],[4|20594],[10|5000],[5|350],[57|0],[24|0],[1021|1370],[[3|2997]|[4|20594]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1370]],0,15000,-1,20225,97,1,[117|17],6,6,1
16098,294,[3|3049],[4|20939],[10|5000],[5|350],[57|0],[24|0],[1021|1380],[[3|3049]|[4|20939]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1380]],0,15400,-1,20571,98,1,[117|17],6,6,1
16099,297,[3|3101],[4|21285],[10|5000],[5|350],[57|0],[24|0],[1021|1390],[[3|3101]|[4|21285]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1390]],0,15800,-1,20918,99,1,[117|17],6,6,1
16100,300,[3|3153],[4|21631],[10|5000],[5|350],[57|0],[24|0],[1021|1400],[[3|3153]|[4|21631]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1400]],0,16200,-1,21264,100,1,[117|18],6,7,1
16101,303,[3|3215],[4|22048],[10|5000],[5|350],[57|0],[24|0],[1021|1410],[[3|3215]|[4|22048]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1410]],0,16700,-1,21679,101,1,[117|18],6,7,1
16102,306,[3|3278],[4|22466],[10|5000],[5|350],[57|0],[24|0],[1021|1420],[[3|3278]|[4|22466]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1420]],0,17200,-1,22098,102,1,[117|18],6,7,1
16103,309,[3|3341],[4|22883],[10|5000],[5|350],[57|0],[24|0],[1021|1430],[[3|3341]|[4|22883]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1430]],0,17700,-1,22517,103,1,[117|18],6,7,1
16104,312,[3|3403],[4|23301],[10|5000],[5|350],[57|0],[24|0],[1021|1440],[[3|3403]|[4|23301]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1440]],0,18200,-1,22932,104,1,[117|18],6,7,1
16105,315,[3|3466],[4|23719],[10|5000],[5|350],[57|0],[24|0],[1021|1450],[[3|3466]|[4|23719]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1450]],0,18700,-1,23351,105,1,[117|19],6,7,1
16106,318,[3|3529],[4|24136],[10|5000],[5|350],[57|0],[24|0],[1021|1460],[[3|3529]|[4|24136]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1460]],0,19200,-1,23770,106,1,[117|19],6,7,1
16107,321,[3|3591],[4|24554],[10|5000],[5|350],[57|0],[24|0],[1021|1470],[[3|3591]|[4|24554]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1470]],0,19700,-1,24185,107,1,[117|19],6,7,1
16108,324,[3|3654],[4|24971],[10|5000],[5|350],[57|0],[24|0],[1021|1480],[[3|3654]|[4|24971]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1480]],0,20200,-1,24604,108,1,[117|19],6,7,1
16109,327,[3|3716],[4|25389],[10|5000],[5|350],[57|0],[24|0],[1021|1490],[[3|3716]|[4|25389]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1490]],0,20700,-1,25019,109,1,[117|19],6,7,1
16110,330,[3|3779],[4|25807],[10|5000],[5|350],[57|0],[24|0],[1021|1500],[[3|3779]|[4|25807]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1500]],0,21200,-1,25438,110,1,[117|20],6,8,1
16111,333,[3|3854],[4|26303],[10|5000],[5|350],[57|0],[24|0],[1021|1510],[[3|3854]|[4|26303]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1510]],0,21700,-1,25937,111,1,[117|20],6,8,1
16112,336,[3|3928],[4|26800],[10|5000],[5|350],[57|0],[24|0],[1021|1520],[[3|3928]|[4|26800]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1520]],0,22300,-1,26432,112,1,[117|20],6,8,1
16113,339,[3|4003],[4|27297],[10|5000],[5|350],[57|0],[24|0],[1021|1530],[[3|4003]|[4|27297]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1530]],0,22900,-1,26930,113,1,[117|20],6,8,1
16114,342,[3|4077],[4|27794],[10|5000],[5|350],[57|0],[24|0],[1021|1540],[[3|4077]|[4|27794]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1540]],0,23500,-1,27425,114,1,[117|20],6,8,1
16115,345,[3|4152],[4|28291],[10|5000],[5|350],[57|0],[24|0],[1021|1550],[[3|4152]|[4|28291]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1550]],0,24100,-1,27924,115,1,[117|21],6,8,1
16116,348,[3|4226],[4|28787],[10|5000],[5|350],[57|0],[24|0],[1021|1560],[[3|4226]|[4|28787]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1560]],0,24700,-1,28418,116,1,[117|21],6,8,1
16117,351,[3|4301],[4|29284],[10|5000],[5|350],[57|0],[24|0],[1021|1570],[[3|4301]|[4|29284]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1570]],0,25300,-1,28917,117,1,[117|21],6,8,1
16118,354,[3|4375],[4|29781],[10|5000],[5|350],[57|0],[24|0],[1021|1580],[[3|4375]|[4|29781]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1580]],0,25900,-1,29412,118,1,[117|21],6,8,1
16119,357,[3|4450],[4|30278],[10|5000],[5|350],[57|0],[24|0],[1021|1590],[[3|4450]|[4|30278]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1590]],0,26500,-1,29911,119,1,[117|21],6,8,1
16120,360,[3|4524],[4|30775],[10|5000],[5|350],[57|0],[24|0],[1021|1600],[[3|4524]|[4|30775]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1600]],0,27100,-1,30406,120,1,[117|22],6,9,1
16121,363,[3|4620],[4|31415],[10|5000],[5|350],[57|0],[24|0],[1021|1610],[[3|4620]|[4|31415]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1610]],0,27700,-1,31046,121,1,[117|22],6,9,1
16122,366,[3|4717],[4|32056],[10|5000],[5|350],[57|0],[24|0],[1021|1620],[[3|4717]|[4|32056]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1620]],0,28300,-1,31690,122,1,[117|22],6,9,1
16123,369,[3|4813],[4|32697],[10|5000],[5|350],[57|0],[24|0],[1021|1630],[[3|4813]|[4|32697]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1630]],0,28900,-1,32330,123,1,[117|22],6,9,1
16124,372,[3|4909],[4|33338],[10|5000],[5|350],[57|0],[24|0],[1021|1640],[[3|4909]|[4|33338]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1640]],0,29500,-1,32971,124,1,[117|22],6,9,1
16125,375,[3|5005],[4|33979],[10|5000],[5|350],[57|0],[24|0],[1021|1650],[[3|5005]|[4|33979]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1650]],0,30400,-1,33611,125,1,[117|23],6,9,1
16126,378,[3|5101],[4|34619],[10|5000],[5|350],[57|0],[24|0],[1021|1660],[[3|5101]|[4|34619]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1660]],0,31300,-1,34251,126,1,[117|23],6,9,1
16127,381,[3|5197],[4|35260],[10|5000],[5|350],[57|0],[24|0],[1021|1670],[[3|5197]|[4|35260]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1670]],0,32200,-1,34892,127,1,[117|23],6,9,1
16128,384,[3|5293],[4|35901],[10|5000],[5|350],[57|0],[24|0],[1021|1680],[[3|5293]|[4|35901]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1680]],0,33100,-1,35532,128,1,[117|23],6,9,1
16129,387,[3|5389],[4|36542],[10|5000],[5|350],[57|0],[24|0],[1021|1690],[[3|5389]|[4|36542]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1690]],0,34000,-1,36172,129,1,[117|23],6,9,1
16130,390,[3|5486],[4|37183],[10|5000],[5|350],[57|0],[24|0],[1021|1700],[[3|5486]|[4|37183]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1700]],0,36000,-1,36817,130,1,[117|24],6,10,1
16131,393,[3|5611],[4|38018],[10|5000],[5|350],[57|0],[24|0],[1021|1710],[[3|5611]|[4|38018]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1710]],0,39000,-1,37651,131,1,[117|24],6,10,1
16132,396,[3|5736],[4|38853],[10|5000],[5|350],[57|0],[24|0],[1021|1720],[[3|5736]|[4|38853]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1720]],0,42000,-1,38485,132,1,[117|24],6,10,1
16133,399,[3|5861],[4|39688],[10|5000],[5|350],[57|0],[24|0],[1021|1730],[[3|5861]|[4|39688]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1730]],0,45000,-1,39319,133,1,[117|24],6,10,1
16134,402,[3|5987],[4|40523],[10|5000],[5|350],[57|0],[24|0],[1021|1740],[[3|5987]|[4|40523]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1740]],0,48000,-1,40157,134,1,[117|24],6,10,1
16135,405,[3|6112],[4|41359],[10|5000],[5|350],[57|0],[24|0],[1021|1750],[[3|6112]|[4|41359]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1750]],0,51000,-1,40991,135,1,[117|25],6,10,1
16136,408,[3|6237],[4|42194],[10|5000],[5|350],[57|0],[24|0],[1021|1760],[[3|6237]|[4|42194]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1760]],0,55000,-1,41825,136,1,[117|25],6,10,1
16137,411,[3|6362],[4|43029],[10|5000],[5|350],[57|0],[24|0],[1021|1770],[[3|6362]|[4|43029]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1770]],0,59000,-1,42659,137,1,[117|25],6,10,1
16138,414,[3|6488],[4|43864],[10|5000],[5|350],[57|0],[24|0],[1021|1780],[[3|6488]|[4|43864]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1780]],0,62000,-1,43497,138,1,[117|25],6,10,1
16139,417,[3|6613],[4|44699],[10|5000],[5|350],[57|0],[24|0],[1021|1790],[[3|6613]|[4|44699]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1790]],0,66000,-1,44331,139,1,[117|25],6,10,1
16140,420,[3|6738],[4|45535],[10|5000],[5|350],[57|0],[24|0],[1021|1800],[[3|6738]|[4|45535]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1800]],0,70000,-1,45166,140,1,[117|26],6,11,1
16141,423,[3|6895],[4|46579],[10|5000],[5|350],[57|0],[24|0],[1021|1810],[[3|6895]|[4|46579]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1810]],0,74000,-1,46211,141,1,[117|26],6,11,1
16142,426,[3|7052],[4|47623],[10|5000],[5|350],[57|0],[24|0],[1021|1820],[[3|7052]|[4|47623]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1820]],0,79000,-1,47257,142,1,[117|26],6,11,1
16143,429,[3|7208],[4|48667],[10|5000],[5|350],[57|0],[24|0],[1021|1830],[[3|7208]|[4|48667]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1830]],0,83000,-1,48298,143,1,[117|26],6,11,1
16144,432,[3|7365],[4|49711],[10|5000],[5|350],[57|0],[24|0],[1021|1840],[[3|7365]|[4|49711]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1840]],0,88000,-1,49344,144,1,[117|26],6,11,1
16145,435,[3|7521],[4|50755],[10|5000],[5|350],[57|0],[24|0],[1021|1850],[[3|7521]|[4|50755]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1850]],0,93000,-1,50386,145,1,[117|27],6,11,1
16146,438,[3|7678],[4|51799],[10|5000],[5|350],[57|0],[24|0],[1021|1860],[[3|7678]|[4|51799]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1860]],0,98000,-1,51431,146,1,[117|27],6,11,1
16147,441,[3|7835],[4|52843],[10|5000],[5|350],[57|0],[24|0],[1021|1870],[[3|7835]|[4|52843]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1870]],0,103000,-1,52477,147,1,[117|27],6,11,1
16148,444,[3|7991],[4|53887],[10|5000],[5|350],[57|0],[24|0],[1021|1880],[[3|7991]|[4|53887]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1880]],0,108000,-1,53518,148,1,[117|27],6,11,1
16149,447,[3|8148],[4|54931],[10|5000],[5|350],[57|0],[24|0],[1021|1890],[[3|8148]|[4|54931]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1890]],0,113000,-1,54564,149,1,[117|27],6,11,1
16150,450,[3|8304],[4|55975],[10|5000],[5|350],[57|0],[24|0],[1021|1900],[[3|8304]|[4|55975]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1900]],0,120000,-1,55606,150,1,[117|28],6,12,1
16151,453,[3|8493],[4|57235],[10|5000],[5|350],[57|0],[24|0],[1021|1910],[[3|8493]|[4|57235]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1910]],0,130000,-1,56866,151,1,[117|28],6,12,1
16152,456,[3|8682],[4|58495],[10|5000],[5|350],[57|0],[24|0],[1021|1920],[[3|8682]|[4|58495]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1920]],0,140000,-1,58126,152,1,[117|28],6,12,1
16153,459,[3|8871],[4|59755],[10|5000],[5|350],[57|0],[24|0],[1021|1930],[[3|8871]|[4|59755]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1930]],0,142400,-1,59386,153,1,[117|28],6,12,1
16154,462,[3|9060],[4|61015],[10|5000],[5|350],[57|0],[24|0],[1021|1940],[[3|9060]|[4|61015]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1940]],0,150000,-1,60646,154,1,[117|28],6,12,1
16155,465,[3|9249],[4|62275],[10|5000],[5|350],[57|0],[24|0],[1021|1950],[[3|9249]|[4|62275]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1950]],0,152700,-1,61906,155,1,[117|29],6,12,1
16156,468,[3|9438],[4|63535],[10|5000],[5|350],[57|0],[24|0],[1021|1960],[[3|9438]|[4|63535]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1960]],0,160000,-1,63166,156,1,[117|29],6,12,1
16157,471,[3|9627],[4|64795],[10|5000],[5|350],[57|0],[24|0],[1021|1970],[[3|9627]|[4|64795]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1970]],0,170000,-1,64426,157,1,[117|29],6,12,1
16158,474,[3|9816],[4|66055],[10|5000],[5|350],[57|0],[24|0],[1021|1980],[[3|9816]|[4|66055]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1980]],0,172700,-1,65686,158,1,[117|29],6,12,1
16159,477,[3|10005],[4|67315],[10|5000],[5|350],[57|0],[24|0],[1021|1990],[[3|10005]|[4|67315]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|1990]],0,180000,-1,66946,159,1,[117|29],6,12,1
16160,480,[3|10194],[4|68575],[10|5000],[5|350],[57|0],[24|0],[1021|2000],[[3|10194]|[4|68575]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|2000]],0,190000,-1,68206,160,1,[117|30],6,13,1
16161,483,[3|10421],[4|70087],[10|5000],[5|350],[57|0],[24|0],[1021|2010],[[3|10421]|[4|70087]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|2010]],0,200000,-1,69718,161,1,[117|30],6,13,1
16162,486,[3|10648],[4|71599],[10|5000],[5|350],[57|0],[24|0],[1021|2020],[[3|10648]|[4|71599]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|2020]],0,203000,-1,71231,162,1,[117|30],6,13,1
16163,489,[3|10875],[4|73111],[10|5000],[5|350],[57|0],[24|0],[1021|2030],[[3|10875]|[4|73111]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|2030]],0,210000,-1,72744,163,1,[117|30],6,13,1
16164,492,[3|11102],[4|74623],[10|5000],[5|350],[57|0],[24|0],[1021|2040],[[3|11102]|[4|74623]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|2040]],0,220000,-1,74257,164,1,[117|30],6,13,1
