id,Activation,activations,alliance_attrs,attrs,group_id,level,power,property_alliance,property_num
4704,[6|4],[6|4],[],[[3094|400]|[4090|400]|[5092|400]],47,4,104000,,[3094|400|4090|400|5092|400]
4705,[6|5],[6|5],[],[[3094|480]|[4090|480]|[5092|480]],47,5,130000,,[3094|480|4090|480|5092|480]
4706,[6|6],[6|6],[],[[3094|560]|[4090|560]|[5092|560]],47,6,156000,,[3094|560|4090|560|5092|560]
4707,[6|7],[6|7],[],[[3094|640]|[4090|640]|[5092|640]],47,7,182000,,[3094|640|4090|640|5092|640]
4708,[6|8],[6|8],[],[[3094|720]|[4090|720]|[5092|720]],47,8,208000,,[3094|720|4090|720|5092|720]
4709,[6|9],[6|9],[],[[3094|800]|[4090|800]|[5092|800]],47,9,234000,,[3094|800|4090|800|5092|800]
4801,[6|1],[6|1],[],[[1032|1000]|[1019|6]],48,1,26000,,[1032|1000|1019|6]
4802,[6|2],[6|2],[],[[1032|1500]|[1019|9]],48,2,52000,,[1032|1500|1019|9]
4803,[6|3],[6|3],[],[[1032|2000]|[1019|12]],48,3,78000,,[1032|2000|1019|12]
4804,[6|4],[6|4],[],[[1032|2500]|[1019|15]],48,4,104000,,[1032|2500|1019|15]
4805,[6|5],[6|5],[],[[1032|3000]|[1019|18]],48,5,130000,,[1032|3000|1019|18]
4806,[6|6],[6|6],[],[[1032|3500]|[1019|21]],48,6,156000,,[1032|3500|1019|21]
4807,[6|7],[6|7],[],[[1032|4000]|[1019|24]],48,7,182000,,[1032|4000|1019|24]
4808,[6|8],[6|8],[],[[1032|4500]|[1019|27]],48,8,208000,,[1032|4500|1019|27]
4809,[6|9],[6|9],[],[[1032|5000]|[1019|30]],48,9,234000,,[1032|5000|1019|30]
5001,[5|1],[5|1],[],[[1019|10]|[18|100]|[19|100]],50,1,26000,,[1019|10|18|100|19|100]
5002,[5|2],[5|2],[],[[1019|10]|[18|150]|[19|150]],50,2,52000,,[1019|10|18|150|19|150]
5003,[5|3],[5|3],[],[[1019|10]|[18|200]|[19|200]],50,3,78000,,[1019|10|18|200|19|200]
5004,[5|4],[5|4],[],[[1019|10]|[18|250]|[19|250]],50,4,104000,,[1019|10|18|250|19|250]
5005,[5|5],[5|5],[],[[1019|10]|[18|300]|[19|300]],50,5,130000,,[1019|10|18|300|19|300]
5006,[5|6],[5|6],[],[[1019|10]|[18|350]|[19|350]],50,6,156000,,[1019|10|18|350|19|350]
5007,[5|7],[5|7],[],[[1019|10]|[18|400]|[19|400]],50,7,182000,,[1019|10|18|400|19|400]
5008,[5|8],[5|8],[],[[1019|10]|[18|450]|[19|450]],50,8,208000,,[1019|10|18|450|19|450]
5009,[5|9],[5|9],[],[[1019|10]|[18|500]|[19|500]],50,9,234000,,[1019|10|18|500|19|500]
