id,adjuest_day1,adjuest_day10,adjuest_day11,adjuest_day12,adjuest_day13,adjuest_day14,adjuest_day15,adjuest_day16,adjuest_day17,adjuest_day18,adjuest_day19,adjuest_day2,adjuest_day20,adjuest_day21,adjuest_day22,adjuest_day23,adjuest_day24,adjuest_day25,adjuest_day26,adjuest_day27,adjuest_day28,adjuest_day29,adjuest_day3,adjuest_day30,adjuest_day4,adjuest_day5,adjuest_day6,adjuest_day7,adjuest_day8,adjuest_day9
4206,"103|1600,104|16000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4207,"103|1600,104|16000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4208,"103|1600,104|16000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4301,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4302,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4303,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4304,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4305,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4306,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4307,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4308,"103|2000,104|20000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4401,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4402,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4403,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4404,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4405,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4406,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4407,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4408,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4501,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4502,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4503,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4504,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4505,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4506,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4507,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4508,"103|2500,104|25000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4601,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4602,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4603,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4604,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4605,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4606,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4607,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4608,"103|3000,104|30000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4701,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4702,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4703,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4704,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4705,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4706,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4707,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4708,"103|3500,104|35000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4801,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4802,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4803,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4804,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4805,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4806,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4807,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4808,"103|4000,104|40000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4901,"103|4500,104|45000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4902,"103|4500,104|45000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4903,"103|4500,104|45000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
4904,"103|4500,104|45000","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0","103|0,104|0"
