id,attr_1,attr_1_grow,attr_2,attr_2_grow,attr_3,attr_4,attr_5,attr_6,attrList,component1_levelup,component2_levelup,component3_levelup,component4_levelup,growList
51012,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51013,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
51014,[3|0],[3|0],[4|50],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|50]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52001,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52002,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52003,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52004,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52005,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
52006,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
53001,[3|10],[3|0],[4|6],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|10]|[4|6]|[10|10000]|[5|0]|[23|0]|[24|0]],1,,,,[[3|0]|[4|0]]
53034,[3|10],[3|0],[4|6],[4|0],[10|10000],[5|150],[23|0],[24|0],[[3|10]|[4|6]|[10|10000]|[5|150]|[23|0]|[24|0]],1,,,,[[3|0]|[4|0]]
54001,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54002,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54003,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54004,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54005,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54006,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54007,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54008,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54009,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54010,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54011,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54012,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54016,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54017,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54018,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54019,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54101,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
54104,[3|0],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|0]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
55001,[3|3],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
55002,[3|3],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
55003,[3|3],[3|0],[4|5],[4|0],[10|10000],[5|0],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|0]|[23|0]|[24|0]],,,,,[[3|0]|[4|0]]
60001,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60002,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60003,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60004,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60005,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60006,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60007,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60008,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60009,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60010,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60011,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60012,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60013,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60014,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60015,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60016,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60017,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60018,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60019,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60020,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60021,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60022,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60023,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60024,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60025,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60026,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60027,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60028,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60029,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60030,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60031,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60032,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60033,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60034,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60035,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60036,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60037,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60038,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60039,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60040,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60041,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60042,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60043,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60044,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60045,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60046,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60047,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60048,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60049,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60050,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60051,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,,,[[3|3]|[4|30]]
60052,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60053,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60054,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60055,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60056,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60057,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60058,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60059,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,,,,[[3|3]|[4|30]]
60060,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60061,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60062,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60063,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60064,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60065,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60066,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60067,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60068,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60069,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60070,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60071,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60072,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60073,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60074,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60075,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60076,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60077,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60078,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60079,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60080,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60081,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60082,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60083,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60084,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60085,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60086,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60087,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60088,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60089,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60090,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60091,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60092,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60093,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60094,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60095,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60096,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60097,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60098,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60099,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],1,1,1,,[[3|3]|[4|30]]
60100,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60101,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60102,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60103,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60104,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60105,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
60106,[3|3],[3|3],[4|5],[4|30],[10|10000],[5|200],[23|0],[24|0],[[3|3]|[4|5]|[10|10000]|[5|200]|[23|0]|[24|0]],,,,,[[3|3]|[4|30]]
