id,attr_1,attr_2,attr_3,attr_4,attr_all_1,attr_all_2,attr_all_3,attr_all_4,attr_special_1,attr_special_2,attr_special_3,attr_special_4,attrAllList,attrList,attrSpecialList,breakCostArr,cost,fightforce,hero,hero_lv_max,hero_lv_max_new,hero_lv_min,hero_lv_min_new,level,player_lv_min
1001302,[3|21],[4|144],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[30|0],[29|0],[[103|0]|[104|200]],[[3|21]|[4|144]|[104|0]|[5|100]],[[19|100]|[18|0]|[30|0]|[29|0]],[[999|3|600]],[999|3|600],228,10013,30,1100,30,1100,2,1
1001303,[3|49],[4|331],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[30|0],[29|0],[[103|100]|[104|200]],[[3|49]|[4|331]|[104|0]|[5|100]],[[19|100]|[18|100]|[30|0]|[29|0]],[[999|3|3600]],[999|3|3600],527,10013,50,1200,50,1200,3,1
1001304,[3|84],[4|561],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[30|200],[29|0],[[103|100]|[104|200]],[[3|84]|[4|561]|[104|0]|[5|100]],[[19|200]|[18|100]|[30|200]|[29|0]],[[999|3|8600]],[999|3|8600],897,10013,70,1300,70,1300,4,1
1001305,[3|125],[4|835],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[30|200],[29|200],[[103|200]|[104|200]],[[3|125]|[4|835]|[104|0]|[5|100]],[[19|200]|[18|200]|[30|200]|[29|200]],[[999|3|18000]],[999|3|18000],1335,10013,90,1400,90,1400,5,1
1001306,[3|172],[4|1152],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[30|200],[29|200],[[103|200]|[104|400]],[[3|172]|[4|1152]|[104|0]|[5|100]],[[19|300]|[18|200]|[30|200]|[29|200]],[[999|3|27000]],[999|3|27000],1840,10013,100,1500,100,1500,6,1
1001307,[3|220],[4|1468],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[30|200],[29|200],[[103|300]|[104|400]],[[3|220]|[4|1468]|[104|0]|[5|100]],[[19|300]|[18|300]|[30|200]|[29|200]],[[999|3|36000]],[999|3|36000],2348,10013,110,1600,110,1600,7,1
1001308,[3|276],[4|1843],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[30|400],[29|200],[[103|300]|[104|400]],[[3|276]|[4|1843]|[104|0]|[5|100]],[[19|400]|[18|300]|[30|400]|[29|200]],[[999|3|55000]],[999|3|55000],2947,10013,120,1700,120,1700,8,1
1001309,[3|341],[4|2275],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[30|400],[29|400],[[103|400]|[104|400]],[[3|341]|[4|2275]|[104|0]|[5|100]],[[19|400]|[18|400]|[30|400]|[29|400]],[[999|3|88000]],[999|3|88000],3545,10013,130,1800,130,1800,9,1
1001310,[3|442],[4|2947],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[30|400],[29|400],[[103|400]|[104|700]],[[3|442]|[4|2947]|[104|0]|[5|100]],[[19|500]|[18|400]|[30|400]|[29|400]],[[999|3|150000]],[999|3|150000],4469,10013,140,1900,140,1900,10,1
1001311,[3|557],[4|3715],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[30|400],[29|400],[[103|500]|[104|700]],[[3|557]|[4|3715]|[104|0]|[5|100]],[[19|500]|[18|500]|[30|400]|[29|400]],[[999|3|270000]],[999|3|270000],5389,10013,150,2000,150,2000,11,1
1001312,[3|686],[4|4579],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[30|700],[29|400],[[103|500]|[104|700]],[[3|686]|[4|4579]|[104|0]|[5|100]],[[19|600]|[18|500]|[30|700]|[29|400]],[[999|3|450000]],[999|3|450000],6465,10013,160,2100,160,2100,12,1
1001313,[3|830],[4|5539],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[30|700],[29|700],[[103|600]|[104|700]],[[3|830]|[4|5539]|[104|0]|[5|100]],[[19|600]|[18|600]|[30|700]|[29|700]],[[999|3|670000]],[999|3|670000],7541,10013,170,2200,170,2200,13,1
1001314,[3|1009],[4|6727],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[30|900],[29|700],[[103|600]|[104|700]],[[3|1009]|[4|6727]|[104|0]|[5|100]],[[19|700]|[18|600]|[30|900]|[29|700]],[[999|3|1000000]],[999|3|1000000],8921,10013,180,2300,180,2300,14,1
1001315,[3|1203],[4|8023],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[30|900],[29|900],[[103|700]|[104|700]],[[3|1203]|[4|8023]|[104|0]|[5|100]],[[19|700]|[18|700]|[30|900]|[29|900]],[[999|3|1500000]],[999|3|1500000],10305,10013,190,2400,190,2400,15,1
1001316,[3|1455],[4|9703],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[30|900],[29|950],[[103|1000]|[104|1000]],[[3|1455]|[4|9703]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|900]|[29|950]],[[999|3|2200000]],[999|3|2200000],12225,10013,200,2500,200,2500,16,1
1001317,[3|2031],[4|13543],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[30|950],[29|950],[[103|1030]|[104|1000]],[[3|2031]|[4|13543]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|950]|[29|950]],[[999|3|6500000]],[999|3|6500000],16833,10013,220,2600,220,2600,17,1
1001318,[3|2679],[4|17863],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[30|950],[29|1000],[[103|1030]|[104|1030]],[[3|2679]|[4|17863]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|950]|[29|1000]],[[999|3|10000000]],[999|3|10000000],22209,10013,240,2700,240,2700,18,1
1001319,[3|3399],[4|22663],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[30|1000],[29|1000],[[103|1050]|[104|1050]],[[3|3399]|[4|22663]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|1000]|[29|1000]],[[999|3|10000000]],[999|3|10000000],27585,10013,265,2800,265,2800,19,1
1001320,[3|4119],[4|27463],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[30|1030],[29|1030],[[103|1070]|[104|1070]],[[3|4119]|[4|27463]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[30|1030]|[29|1030]],[[999|3|10000000]],[999|3|10000000],32961,10013,280,2900,99999,2901,20,1
1001401,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[32|0],[31|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[32|0]|[31|0]],[[999|3|450]],[999|3|450],0,10014,20,1000,20,1000,1,1
1001402,[3|21],[4|144],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[32|0],[31|0],[[103|0]|[104|200]],[[3|21]|[4|144]|[104|0]|[5|100]],[[19|100]|[18|0]|[32|0]|[31|0]],[[999|3|600]],[999|3|600],228,10014,30,1100,30,1100,2,1
1001403,[3|49],[4|331],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[32|0],[31|0],[[103|100]|[104|200]],[[3|49]|[4|331]|[104|0]|[5|100]],[[19|100]|[18|100]|[32|0]|[31|0]],[[999|3|3600]],[999|3|3600],527,10014,50,1200,50,1200,3,1
1001404,[3|84],[4|561],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[32|200],[31|0],[[103|100]|[104|200]],[[3|84]|[4|561]|[104|0]|[5|100]],[[19|200]|[18|100]|[32|200]|[31|0]],[[999|3|8600]],[999|3|8600],897,10014,70,1300,70,1300,4,1
1001405,[3|125],[4|835],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[32|200],[31|200],[[103|200]|[104|200]],[[3|125]|[4|835]|[104|0]|[5|100]],[[19|200]|[18|200]|[32|200]|[31|200]],[[999|3|18000]],[999|3|18000],1335,10014,90,1400,90,1400,5,1
1001406,[3|172],[4|1152],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[32|200],[31|200],[[103|200]|[104|400]],[[3|172]|[4|1152]|[104|0]|[5|100]],[[19|300]|[18|200]|[32|200]|[31|200]],[[999|3|27000]],[999|3|27000],1840,10014,100,1500,100,1500,6,1
1001407,[3|220],[4|1468],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[32|200],[31|200],[[103|300]|[104|400]],[[3|220]|[4|1468]|[104|0]|[5|100]],[[19|300]|[18|300]|[32|200]|[31|200]],[[999|3|36000]],[999|3|36000],2348,10014,110,1600,110,1600,7,1
1001408,[3|276],[4|1843],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[32|400],[31|200],[[103|300]|[104|400]],[[3|276]|[4|1843]|[104|0]|[5|100]],[[19|400]|[18|300]|[32|400]|[31|200]],[[999|3|55000]],[999|3|55000],2947,10014,120,1700,120,1700,8,1
1001409,[3|341],[4|2275],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[32|400],[31|400],[[103|400]|[104|400]],[[3|341]|[4|2275]|[104|0]|[5|100]],[[19|400]|[18|400]|[32|400]|[31|400]],[[999|3|88000]],[999|3|88000],3545,10014,130,1800,130,1800,9,1
1001410,[3|442],[4|2947],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[32|400],[31|400],[[103|400]|[104|700]],[[3|442]|[4|2947]|[104|0]|[5|100]],[[19|500]|[18|400]|[32|400]|[31|400]],[[999|3|150000]],[999|3|150000],4469,10014,140,1900,140,1900,10,1
1001411,[3|557],[4|3715],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[32|400],[31|400],[[103|500]|[104|700]],[[3|557]|[4|3715]|[104|0]|[5|100]],[[19|500]|[18|500]|[32|400]|[31|400]],[[999|3|270000]],[999|3|270000],5389,10014,150,2000,150,2000,11,1
1001412,[3|686],[4|4579],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[32|700],[31|400],[[103|500]|[104|700]],[[3|686]|[4|4579]|[104|0]|[5|100]],[[19|600]|[18|500]|[32|700]|[31|400]],[[999|3|450000]],[999|3|450000],6465,10014,160,2100,160,2100,12,1
1001413,[3|830],[4|5539],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[32|700],[31|700],[[103|600]|[104|700]],[[3|830]|[4|5539]|[104|0]|[5|100]],[[19|600]|[18|600]|[32|700]|[31|700]],[[999|3|670000]],[999|3|670000],7541,10014,170,2200,170,2200,13,1
1001414,[3|1009],[4|6727],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[32|900],[31|700],[[103|600]|[104|700]],[[3|1009]|[4|6727]|[104|0]|[5|100]],[[19|700]|[18|600]|[32|900]|[31|700]],[[999|3|1000000]],[999|3|1000000],8921,10014,180,2300,180,2300,14,1
1001415,[3|1203],[4|8023],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[32|900],[31|900],[[103|700]|[104|700]],[[3|1203]|[4|8023]|[104|0]|[5|100]],[[19|700]|[18|700]|[32|900]|[31|900]],[[999|3|1500000]],[999|3|1500000],10305,10014,190,2400,190,2400,15,1
1001416,[3|1455],[4|9703],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[32|900],[31|950],[[103|1000]|[104|1000]],[[3|1455]|[4|9703]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|900]|[31|950]],[[999|3|2200000]],[999|3|2200000],12225,10014,200,2500,200,2500,16,1
1001417,[3|2031],[4|13543],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[32|950],[31|950],[[103|1030]|[104|1000]],[[3|2031]|[4|13543]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|950]],[[999|3|6500000]],[999|3|6500000],16833,10014,220,2600,220,2600,17,1
1001418,[3|2679],[4|17863],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[32|950],[31|1000],[[103|1030]|[104|1030]],[[3|2679]|[4|17863]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|950]|[31|1000]],[[999|3|10000000]],[999|3|10000000],22209,10014,240,2700,240,2700,18,1
1001419,[3|3399],[4|22663],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[32|1000],[31|1000],[[103|1050]|[104|1050]],[[3|3399]|[4|22663]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1000]|[31|1000]],[[999|3|10000000]],[999|3|10000000],27585,10014,265,2800,265,2800,19,1
1001420,[3|4119],[4|27463],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[32|1030],[31|1030],[[103|1070]|[104|1070]],[[3|4119]|[4|27463]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[32|1030]|[31|1030]],[[999|3|10000000]],[999|3|10000000],32961,10014,280,2900,99999,2901,20,1
1001501,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[28|0],[27|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[28|0]|[27|0]],[[999|3|450]],[999|3|450],0,10015,20,1000,20,1000,1,1
1001502,[3|18],[4|180],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[28|0],[27|0],[[103|0]|[104|200]],[[3|18]|[4|180]|[104|0]|[5|100]],[[19|100]|[18|0]|[28|0]|[27|0]],[[999|3|600]],[999|3|600],252,10015,30,1100,30,1100,2,1
1001503,[3|41],[4|414],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[28|0],[27|0],[[103|100]|[104|200]],[[3|41]|[4|414]|[104|0]|[5|100]],[[19|100]|[18|100]|[28|0]|[27|0]],[[999|3|3600]],[999|3|3600],578,10015,50,1200,50,1200,3,1
1001504,[3|70],[4|702],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[28|200],[27|0],[[103|100]|[104|200]],[[3|70]|[4|702]|[104|0]|[5|100]],[[19|200]|[18|100]|[28|200]|[27|0]],[[999|3|8600]],[999|3|8600],982,10015,70,1300,70,1300,4,1
1001505,[3|104],[4|1044],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[28|200],[27|200],[[103|200]|[104|200]],[[3|104]|[4|1044]|[104|0]|[5|100]],[[19|200]|[18|200]|[28|200]|[27|200]],[[999|3|18000]],[999|3|18000],1460,10015,90,1400,90,1400,5,1
1001506,[3|144],[4|1440],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[28|200],[27|200],[[103|200]|[104|400]],[[3|144]|[4|1440]|[104|0]|[5|100]],[[19|300]|[18|200]|[28|200]|[27|200]],[[999|3|27000]],[999|3|27000],2016,10015,100,1500,100,1500,6,1
1001507,[3|183],[4|1836],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[28|200],[27|200],[[103|300]|[104|400]],[[3|183]|[4|1836]|[104|0]|[5|100]],[[19|300]|[18|300]|[28|200]|[27|200]],[[999|3|36000]],[999|3|36000],2568,10015,110,1600,110,1600,7,1
1001508,[3|230],[4|2304],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[28|400],[27|200],[[103|300]|[104|400]],[[3|230]|[4|2304]|[104|0]|[5|100]],[[19|400]|[18|300]|[28|400]|[27|200]],[[999|3|55000]],[999|3|55000],3224,10015,120,1700,120,1700,8,1
1001509,[3|284],[4|2844],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[28|400],[27|400],[[103|400]|[104|400]],[[3|284]|[4|2844]|[104|0]|[5|100]],[[19|400]|[18|400]|[28|400]|[27|400]],[[999|3|88000]],[999|3|88000],3880,10015,130,1800,130,1800,9,1
1001510,[3|368],[4|3684],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[28|400],[27|400],[[103|400]|[104|700]],[[3|368]|[4|3684]|[104|0]|[5|100]],[[19|500]|[18|400]|[28|400]|[27|400]],[[999|3|150000]],[999|3|150000],4888,10015,140,1900,140,1900,10,1
1001511,[3|464],[4|4644],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[28|400],[27|400],[[103|500]|[104|700]],[[3|464]|[4|4644]|[104|0]|[5|100]],[[19|500]|[18|500]|[28|400]|[27|400]],[[999|3|270000]],[999|3|270000],5896,10015,150,2000,150,2000,11,1
1001512,[3|572],[4|5724],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[28|700],[27|400],[[103|500]|[104|700]],[[3|572]|[4|5724]|[104|0]|[5|100]],[[19|600]|[18|500]|[28|700]|[27|400]],[[999|3|450000]],[999|3|450000],7072,10015,160,2100,160,2100,12,1
1001513,[3|692],[4|6924],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[28|700],[27|700],[[103|600]|[104|700]],[[3|692]|[4|6924]|[104|0]|[5|100]],[[19|600]|[18|600]|[28|700]|[27|700]],[[999|3|670000]],[999|3|670000],8248,10015,170,2200,170,2200,13,1
1001514,[3|840],[4|8409],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[28|900],[27|700],[[103|600]|[104|700]],[[3|840]|[4|8409]|[104|0]|[5|100]],[[19|700]|[18|600]|[28|900]|[27|700]],[[999|3|1000000]],[999|3|1000000],9760,10015,180,2300,180,2300,14,1
1001515,[3|1002],[4|10029],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[28|900],[27|900],[[103|700]|[104|700]],[[3|1002]|[4|10029]|[104|0]|[5|100]],[[19|700]|[18|700]|[28|900]|[27|900]],[[999|3|1500000]],[999|3|1500000],11272,10015,190,2400,190,2400,15,1
1001516,[3|1212],[4|12129],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[28|900],[27|950],[[103|1000]|[104|1000]],[[3|1212]|[4|12129]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|900]|[27|950]],[[999|3|2200000]],[999|3|2200000],13372,10015,200,2500,200,2500,16,1
1001517,[3|1692],[4|16929],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[28|950],[27|950],[[103|1030]|[104|1000]],[[3|1692]|[4|16929]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|950]],[[999|3|6500000]],[999|3|6500000],18412,10015,220,2600,220,2600,17,1
1001518,[3|2232],[4|22329],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[28|950],[27|1000],[[103|1030]|[104|1030]],[[3|2232]|[4|22329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|1000]],[[999|3|10000000]],[999|3|10000000],24292,10015,240,2700,240,2700,18,1
1001519,[3|2832],[4|28329],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[28|1000],[27|1000],[[103|1050]|[104|1050]],[[3|2832]|[4|28329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1000]|[27|1000]],[[999|3|10000000]],[999|3|10000000],30172,10015,265,2800,265,2800,19,1
1001520,[3|3432],[4|34329],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[28|1030],[27|1030],[[103|1070]|[104|1070]],[[3|3432]|[4|34329]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1030]|[27|1030]],[[999|3|10000000]],[999|3|10000000],36052,10015,280,2900,99999,2901,20,1
1001601,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[28|0],[27|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[28|0]|[27|0]],[[999|3|450]],[999|3|450],0,10016,20,1000,20,1000,1,1
1001602,[3|21],[4|144],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[28|0],[27|0],[[103|0]|[104|200]],[[3|21]|[4|144]|[104|0]|[5|100]],[[19|100]|[18|0]|[28|0]|[27|0]],[[999|3|600]],[999|3|600],228,10016,30,1100,30,1100,2,1
1001603,[3|49],[4|331],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[28|0],[27|0],[[103|100]|[104|200]],[[3|49]|[4|331]|[104|0]|[5|100]],[[19|100]|[18|100]|[28|0]|[27|0]],[[999|3|3600]],[999|3|3600],527,10016,50,1200,50,1200,3,1
1001604,[3|84],[4|561],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[28|200],[27|0],[[103|100]|[104|200]],[[3|84]|[4|561]|[104|0]|[5|100]],[[19|200]|[18|100]|[28|200]|[27|0]],[[999|3|8600]],[999|3|8600],897,10016,70,1300,70,1300,4,1
1001605,[3|125],[4|835],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[28|200],[27|200],[[103|200]|[104|200]],[[3|125]|[4|835]|[104|0]|[5|100]],[[19|200]|[18|200]|[28|200]|[27|200]],[[999|3|18000]],[999|3|18000],1335,10016,90,1400,90,1400,5,1
1001606,[3|172],[4|1152],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[28|200],[27|200],[[103|200]|[104|400]],[[3|172]|[4|1152]|[104|0]|[5|100]],[[19|300]|[18|200]|[28|200]|[27|200]],[[999|3|27000]],[999|3|27000],1840,10016,100,1500,100,1500,6,1
1001607,[3|220],[4|1468],[104|0],[5|100],[103|300],[104|400],,,[19|300],[18|300],[28|200],[27|200],[[103|300]|[104|400]],[[3|220]|[4|1468]|[104|0]|[5|100]],[[19|300]|[18|300]|[28|200]|[27|200]],[[999|3|36000]],[999|3|36000],2348,10016,110,1600,110,1600,7,1
1001608,[3|276],[4|1843],[104|0],[5|100],[103|300],[104|400],,,[19|400],[18|300],[28|400],[27|200],[[103|300]|[104|400]],[[3|276]|[4|1843]|[104|0]|[5|100]],[[19|400]|[18|300]|[28|400]|[27|200]],[[999|3|55000]],[999|3|55000],2947,10016,120,1700,120,1700,8,1
1001609,[3|341],[4|2275],[104|0],[5|100],[103|400],[104|400],,,[19|400],[18|400],[28|400],[27|400],[[103|400]|[104|400]],[[3|341]|[4|2275]|[104|0]|[5|100]],[[19|400]|[18|400]|[28|400]|[27|400]],[[999|3|88000]],[999|3|88000],3545,10016,130,1800,130,1800,9,1
1001610,[3|442],[4|2947],[104|0],[5|100],[103|400],[104|700],,,[19|500],[18|400],[28|400],[27|400],[[103|400]|[104|700]],[[3|442]|[4|2947]|[104|0]|[5|100]],[[19|500]|[18|400]|[28|400]|[27|400]],[[999|3|150000]],[999|3|150000],4469,10016,140,1900,140,1900,10,1
1001611,[3|557],[4|3715],[104|0],[5|100],[103|500],[104|700],,,[19|500],[18|500],[28|400],[27|400],[[103|500]|[104|700]],[[3|557]|[4|3715]|[104|0]|[5|100]],[[19|500]|[18|500]|[28|400]|[27|400]],[[999|3|270000]],[999|3|270000],5389,10016,150,2000,150,2000,11,1
1001612,[3|686],[4|4579],[104|0],[5|100],[103|500],[104|700],,,[19|600],[18|500],[28|700],[27|400],[[103|500]|[104|700]],[[3|686]|[4|4579]|[104|0]|[5|100]],[[19|600]|[18|500]|[28|700]|[27|400]],[[999|3|450000]],[999|3|450000],6465,10016,160,2100,160,2100,12,1
1001613,[3|830],[4|5539],[104|0],[5|100],[103|600],[104|700],,,[19|600],[18|600],[28|700],[27|700],[[103|600]|[104|700]],[[3|830]|[4|5539]|[104|0]|[5|100]],[[19|600]|[18|600]|[28|700]|[27|700]],[[999|3|670000]],[999|3|670000],7541,10016,170,2200,170,2200,13,1
1001614,[3|1009],[4|6727],[104|0],[5|100],[103|600],[104|700],,,[19|700],[18|600],[28|900],[27|700],[[103|600]|[104|700]],[[3|1009]|[4|6727]|[104|0]|[5|100]],[[19|700]|[18|600]|[28|900]|[27|700]],[[999|3|1000000]],[999|3|1000000],8921,10016,180,2300,180,2300,14,1
1001615,[3|1203],[4|8023],[104|0],[5|100],[103|700],[104|700],,,[19|700],[18|700],[28|900],[27|900],[[103|700]|[104|700]],[[3|1203]|[4|8023]|[104|0]|[5|100]],[[19|700]|[18|700]|[28|900]|[27|900]],[[999|3|1500000]],[999|3|1500000],10305,10016,190,2400,190,2400,15,1
1001616,[3|1455],[4|9703],[104|0],[5|100],[103|1000],[104|1000],,,[19|1000],[18|1000],[28|900],[27|950],[[103|1000]|[104|1000]],[[3|1455]|[4|9703]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|900]|[27|950]],[[999|3|2200000]],[999|3|2200000],12225,10016,200,2500,200,2500,16,1
1001617,[3|2031],[4|13543],[104|0],[5|100],[103|1030],[104|1000],,,[19|1000],[18|1000],[28|950],[27|950],[[103|1030]|[104|1000]],[[3|2031]|[4|13543]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|950]],[[999|3|6500000]],[999|3|6500000],16833,10016,220,2600,220,2600,17,1
1001618,[3|2679],[4|17863],[104|0],[5|100],[103|1030],[104|1030],,,[19|1000],[18|1000],[28|950],[27|1000],[[103|1030]|[104|1030]],[[3|2679]|[4|17863]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|950]|[27|1000]],[[999|3|10000000]],[999|3|10000000],22209,10016,240,2700,240,2700,18,1
1001619,[3|3399],[4|22663],[104|0],[5|100],[103|1050],[104|1050],,,[19|1000],[18|1000],[28|1000],[27|1000],[[103|1050]|[104|1050]],[[3|3399]|[4|22663]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1000]|[27|1000]],[[999|3|10000000]],[999|3|10000000],27585,10016,265,2800,265,2800,19,1
1001620,[3|4119],[4|27463],[104|0],[5|100],[103|1070],[104|1070],,,[19|1000],[18|1000],[28|1030],[27|1030],[[103|1070]|[104|1070]],[[3|4119]|[4|27463]|[104|0]|[5|100]],[[19|1000]|[18|1000]|[28|1030]|[27|1030]],[[999|3|10000000]],[999|3|10000000],32961,10016,280,2900,99999,2901,20,1
1001701,[3|0],[4|0],[104|0],[5|100],[103|0],[104|0],,,[19|0],[18|0],[28|0],[27|0],[[103|0]|[104|0]],[[3|0]|[4|0]|[104|0]|[5|100]],[[19|0]|[18|0]|[28|0]|[27|0]],[[999|3|450]],[999|3|450],0,10017,20,1000,20,1000,1,1
1001702,[3|18],[4|270],[104|0],[5|100],[103|0],[104|200],,,[19|100],[18|0],[28|0],[27|0],[[103|0]|[104|200]],[[3|18]|[4|270]|[104|0]|[5|100]],[[19|100]|[18|0]|[28|0]|[27|0]],[[999|3|600]],[999|3|600],342,10017,30,1100,30,1100,2,1
1001703,[3|41],[4|621],[104|0],[5|100],[103|100],[104|200],,,[19|100],[18|100],[28|0],[27|0],[[103|100]|[104|200]],[[3|41]|[4|621]|[104|0]|[5|100]],[[19|100]|[18|100]|[28|0]|[27|0]],[[999|3|3600]],[999|3|3600],785,10017,50,1200,50,1200,3,1
1001704,[3|70],[4|1053],[104|0],[5|100],[103|100],[104|200],,,[19|200],[18|100],[28|200],[27|0],[[103|100]|[104|200]],[[3|70]|[4|1053]|[104|0]|[5|100]],[[19|200]|[18|100]|[28|200]|[27|0]],[[999|3|8600]],[999|3|8600],1333,10017,70,1300,70,1300,4,1
1001705,[3|104],[4|1566],[104|0],[5|100],[103|200],[104|200],,,[19|200],[18|200],[28|200],[27|200],[[103|200]|[104|200]],[[3|104]|[4|1566]|[104|0]|[5|100]],[[19|200]|[18|200]|[28|200]|[27|200]],[[999|3|18000]],[999|3|18000],1982,10017,90,1400,90,1400,5,1
1001706,[3|144],[4|2160],[104|0],[5|100],[103|200],[104|400],,,[19|300],[18|200],[28|200],[27|200],[[103|200]|[104|400]],[[3|144]|[4|2160]|[104|0]|[5|100]],[[19|300]|[18|200]|[28|200]|[27|200]],[[999|3|27000]],[999|3|27000],2736,10017,100,1500,100,1500,6,1
