id,attribute,attrs,cost,costArr,exclusive_component,index,lv,power,skillArr
1002406,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11024|30],[[2|11024|30]],[1002414|2],10024,6,20970,[[1002414|2]]
1002407,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11024|35],[[2|11024|35]],[1002414|2],10024,7,25112,[[1002414|2]]
1002408,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11024|40],[[2|11024|40]],[1002414|2],10024,8,29229,[[1002414|2]]
1002409,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11024|45],[[2|11024|45]],[1002414|2],10024,9,33370,[[1002414|2]]
1002410,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11024|50],[[2|11024|50]],[1002414|3],10024,10,39075,[[1002414|3]]
1002411,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11024|55],[[2|11024|55]],[1002414|3],10024,11,44803,[[1002414|3]]
1002412,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11024|60],[[2|11024|60]],[1002414|3],10024,12,50516,[[1002414|3]]
1002413,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11024|65],[[2|11024|65]],[1002414|3],10024,13,56244,[[1002414|3]]
1002414,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11024|70],[[2|11024|70]],[1002414|3],10024,14,61951,[[1002414|3]]
1002415,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11024|80],[[2|11024|80]],[1002414|4],10024,15,69917,[[1002414|4]]
1002416,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11024|90],[[2|11024|90]],[1002414|4],10024,16,77840,[[1002414|4]]
1002417,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11024|100],[[2|11024|100]],[1002414|4],10024,17,85808,[[1002414|4]]
1002418,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11024|110],[[2|11024|110]],[1002414|4],10024,18,93732,[[1002414|4]]
1002419,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11024|130],[[2|11024|130]],[1002414|4],10024,19,101675,[[1002414|4]]
1002420,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11024|150],[[2|11024|150]],[1002414|5],10024,20,112800,[[1002414|5]]
1003001,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11030|5],[[2|11030|5]],[1003014|1],10030,1,3176,[[1003014|1]]
1003002,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11030|10],[[2|11030|10]],[1003014|1],10030,2,6355,[[1003014|1]]
1003003,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11030|15],[[2|11030|15]],[1003014|1],10030,3,9535,[[1003014|1]]
1003004,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11030|20],[[2|11030|20]],[1003014|1],10030,4,12712,[[1003014|1]]
1003005,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11030|25],[[2|11030|25]],[1003014|2],10030,5,16831,[[1003014|2]]
1003006,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11030|30],[[2|11030|30]],[1003014|2],10030,6,20970,[[1003014|2]]
1003007,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11030|35],[[2|11030|35]],[1003014|2],10030,7,25112,[[1003014|2]]
1003008,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11030|40],[[2|11030|40]],[1003014|2],10030,8,29229,[[1003014|2]]
1003009,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11030|45],[[2|11030|45]],[1003014|2],10030,9,33370,[[1003014|2]]
1003010,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11030|50],[[2|11030|50]],[1003014|3],10030,10,39075,[[1003014|3]]
1003011,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11030|55],[[2|11030|55]],[1003014|3],10030,11,44803,[[1003014|3]]
1003012,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11030|60],[[2|11030|60]],[1003014|3],10030,12,50516,[[1003014|3]]
1003013,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11030|65],[[2|11030|65]],[1003014|3],10030,13,56244,[[1003014|3]]
1003014,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11030|70],[[2|11030|70]],[1003014|3],10030,14,61951,[[1003014|3]]
1003015,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11030|80],[[2|11030|80]],[1003014|4],10030,15,69917,[[1003014|4]]
1003016,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11030|90],[[2|11030|90]],[1003014|4],10030,16,77840,[[1003014|4]]
1003017,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11030|100],[[2|11030|100]],[1003014|4],10030,17,85808,[[1003014|4]]
1003018,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11030|110],[[2|11030|110]],[1003014|4],10030,18,93732,[[1003014|4]]
1003019,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11030|130],[[2|11030|130]],[1003014|4],10030,19,101675,[[1003014|4]]
1003020,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11030|150],[[2|11030|150]],[1003014|5],10030,20,112800,[[1003014|5]]
1002701,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11027|5],[[2|11027|5]],[1002714|1],10027,1,3176,[[1002714|1]]
1002702,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11027|10],[[2|11027|10]],[1002714|1],10027,2,6355,[[1002714|1]]
1002703,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11027|15],[[2|11027|15]],[1002714|1],10027,3,9535,[[1002714|1]]
1002704,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11027|20],[[2|11027|20]],[1002714|1],10027,4,12712,[[1002714|1]]
1002705,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11027|25],[[2|11027|25]],[1002714|2],10027,5,16831,[[1002714|2]]
1002706,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11027|30],[[2|11027|30]],[1002714|2],10027,6,20970,[[1002714|2]]
1002707,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11027|35],[[2|11027|35]],[1002714|2],10027,7,25112,[[1002714|2]]
1002708,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11027|40],[[2|11027|40]],[1002714|2],10027,8,29229,[[1002714|2]]
1002709,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11027|45],[[2|11027|45]],[1002714|2],10027,9,33370,[[1002714|2]]
1002710,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11027|50],[[2|11027|50]],[1002714|3],10027,10,39075,[[1002714|3]]
1002711,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11027|55],[[2|11027|55]],[1002714|3],10027,11,44803,[[1002714|3]]
1002712,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11027|60],[[2|11027|60]],[1002714|3],10027,12,50516,[[1002714|3]]
1002713,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11027|65],[[2|11027|65]],[1002714|3],10027,13,56244,[[1002714|3]]
1002714,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11027|70],[[2|11027|70]],[1002714|3],10027,14,61951,[[1002714|3]]
1002715,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11027|80],[[2|11027|80]],[1002714|4],10027,15,69917,[[1002714|4]]
1002716,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11027|90],[[2|11027|90]],[1002714|4],10027,16,77840,[[1002714|4]]
1002717,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11027|100],[[2|11027|100]],[1002714|4],10027,17,85808,[[1002714|4]]
1002718,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11027|110],[[2|11027|110]],[1002714|4],10027,18,93732,[[1002714|4]]
1002719,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11027|130],[[2|11027|130]],[1002714|4],10027,19,101675,[[1002714|4]]
1002720,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11027|150],[[2|11027|150]],[1002714|5],10027,20,112800,[[1002714|5]]
1002801,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11028|5],[[2|11028|5]],[1002814|1],10028,1,3176,[[1002814|1]]
1002802,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11028|10],[[2|11028|10]],[1002814|1],10028,2,6355,[[1002814|1]]
1002803,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11028|15],[[2|11028|15]],[1002814|1],10028,3,9535,[[1002814|1]]
1002804,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11028|20],[[2|11028|20]],[1002814|1],10028,4,12712,[[1002814|1]]
1002805,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11028|25],[[2|11028|25]],[1002814|2],10028,5,16831,[[1002814|2]]
1002806,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11028|30],[[2|11028|30]],[1002814|2],10028,6,20970,[[1002814|2]]
1002807,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11028|35],[[2|11028|35]],[1002814|2],10028,7,25112,[[1002814|2]]
1002808,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11028|40],[[2|11028|40]],[1002814|2],10028,8,29229,[[1002814|2]]
1002809,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11028|45],[[2|11028|45]],[1002814|2],10028,9,33370,[[1002814|2]]
1002810,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11028|50],[[2|11028|50]],[1002814|3],10028,10,39075,[[1002814|3]]
1002811,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11028|55],[[2|11028|55]],[1002814|3],10028,11,44803,[[1002814|3]]
1002812,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11028|60],[[2|11028|60]],[1002814|3],10028,12,50516,[[1002814|3]]
1002813,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11028|65],[[2|11028|65]],[1002814|3],10028,13,56244,[[1002814|3]]
1002814,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11028|70],[[2|11028|70]],[1002814|3],10028,14,61951,[[1002814|3]]
1002815,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11028|80],[[2|11028|80]],[1002814|4],10028,15,69917,[[1002814|4]]
1002816,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11028|90],[[2|11028|90]],[1002814|4],10028,16,77840,[[1002814|4]]
1002817,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11028|100],[[2|11028|100]],[1002814|4],10028,17,85808,[[1002814|4]]
1002818,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11028|110],[[2|11028|110]],[1002814|4],10028,18,93732,[[1002814|4]]
1002819,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11028|130],[[2|11028|130]],[1002814|4],10028,19,101675,[[1002814|4]]
1002820,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11028|150],[[2|11028|150]],[1002814|5],10028,20,112800,[[1002814|5]]
1003101,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11031|5],[[2|11031|5]],[1003114|1],10031,1,3176,[[1003114|1]]
1003102,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11031|10],[[2|11031|10]],[1003114|1],10031,2,6355,[[1003114|1]]
1003103,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11031|15],[[2|11031|15]],[1003114|1],10031,3,9535,[[1003114|1]]
1003104,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11031|20],[[2|11031|20]],[1003114|1],10031,4,12712,[[1003114|1]]
1003105,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11031|25],[[2|11031|25]],[1003114|2],10031,5,16831,[[1003114|2]]
1003106,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11031|30],[[2|11031|30]],[1003114|2],10031,6,20970,[[1003114|2]]
1003107,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11031|35],[[2|11031|35]],[1003114|2],10031,7,25112,[[1003114|2]]
1003108,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11031|40],[[2|11031|40]],[1003114|2],10031,8,29229,[[1003114|2]]
1003109,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11031|45],[[2|11031|45]],[1003114|2],10031,9,33370,[[1003114|2]]
1003110,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11031|50],[[2|11031|50]],[1003114|3],10031,10,39075,[[1003114|3]]
1003111,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11031|55],[[2|11031|55]],[1003114|3],10031,11,44803,[[1003114|3]]
1003112,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11031|60],[[2|11031|60]],[1003114|3],10031,12,50516,[[1003114|3]]
1003113,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11031|65],[[2|11031|65]],[1003114|3],10031,13,56244,[[1003114|3]]
1003114,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11031|70],[[2|11031|70]],[1003114|3],10031,14,61951,[[1003114|3]]
1003115,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11031|80],[[2|11031|80]],[1003114|4],10031,15,69917,[[1003114|4]]
1003116,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11031|90],[[2|11031|90]],[1003114|4],10031,16,77840,[[1003114|4]]
1003117,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11031|100],[[2|11031|100]],[1003114|4],10031,17,85808,[[1003114|4]]
1003118,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11031|110],[[2|11031|110]],[1003114|4],10031,18,93732,[[1003114|4]]
1003119,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11031|130],[[2|11031|130]],[1003114|4],10031,19,101675,[[1003114|4]]
1003120,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11031|150],[[2|11031|150]],[1003114|5],10031,20,112800,[[1003114|5]]
1003201,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11032|5],[[2|11032|5]],[1003214|1],10032,1,3176,[[1003214|1]]
1003202,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11032|10],[[2|11032|10]],[1003214|1],10032,2,6355,[[1003214|1]]
1003203,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11032|15],[[2|11032|15]],[1003214|1],10032,3,9535,[[1003214|1]]
1003204,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11032|20],[[2|11032|20]],[1003214|1],10032,4,12712,[[1003214|1]]
1003205,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11032|25],[[2|11032|25]],[1003214|2],10032,5,16831,[[1003214|2]]
1003206,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11032|30],[[2|11032|30]],[1003214|2],10032,6,20970,[[1003214|2]]
1003207,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11032|35],[[2|11032|35]],[1003214|2],10032,7,25112,[[1003214|2]]
1003208,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11032|40],[[2|11032|40]],[1003214|2],10032,8,29229,[[1003214|2]]
1003209,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11032|45],[[2|11032|45]],[1003214|2],10032,9,33370,[[1003214|2]]
1003210,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11032|50],[[2|11032|50]],[1003214|3],10032,10,39075,[[1003214|3]]
1003211,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11032|55],[[2|11032|55]],[1003214|3],10032,11,44803,[[1003214|3]]
1003212,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11032|60],[[2|11032|60]],[1003214|3],10032,12,50516,[[1003214|3]]
1003213,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11032|65],[[2|11032|65]],[1003214|3],10032,13,56244,[[1003214|3]]
1003214,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11032|70],[[2|11032|70]],[1003214|3],10032,14,61951,[[1003214|3]]
1003215,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11032|80],[[2|11032|80]],[1003214|4],10032,15,69917,[[1003214|4]]
1003216,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11032|90],[[2|11032|90]],[1003214|4],10032,16,77840,[[1003214|4]]
1003217,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11032|100],[[2|11032|100]],[1003214|4],10032,17,85808,[[1003214|4]]
1003218,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11032|110],[[2|11032|110]],[1003214|4],10032,18,93732,[[1003214|4]]
1003219,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11032|130],[[2|11032|130]],[1003214|4],10032,19,101675,[[1003214|4]]
1003220,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11032|150],[[2|11032|150]],[1003214|5],10032,20,112800,[[1003214|5]]
1003301,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11033|5],[[2|11033|5]],[1003315|1],10033,1,3176,[[1003315|1]]
1003302,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11033|10],[[2|11033|10]],[1003315|1],10033,2,6355,[[1003315|1]]
1003303,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11033|15],[[2|11033|15]],[1003315|1],10033,3,9535,[[1003315|1]]
1003304,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11033|20],[[2|11033|20]],[1003315|1],10033,4,12712,[[1003315|1]]
1003305,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11033|25],[[2|11033|25]],[1003315|2],10033,5,16831,[[1003315|2]]
1003306,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11033|30],[[2|11033|30]],[1003315|2],10033,6,20970,[[1003315|2]]
1003307,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11033|35],[[2|11033|35]],[1003315|2],10033,7,25112,[[1003315|2]]
1003308,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11033|40],[[2|11033|40]],[1003315|2],10033,8,29229,[[1003315|2]]
1003309,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11033|45],[[2|11033|45]],[1003315|2],10033,9,33370,[[1003315|2]]
1003310,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11033|50],[[2|11033|50]],[1003315|3],10033,10,39075,[[1003315|3]]
1003311,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11033|55],[[2|11033|55]],[1003315|3],10033,11,44803,[[1003315|3]]
1003312,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11033|60],[[2|11033|60]],[1003315|3],10033,12,50516,[[1003315|3]]
1003313,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11033|65],[[2|11033|65]],[1003315|3],10033,13,56244,[[1003315|3]]
1003314,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11033|70],[[2|11033|70]],[1003315|3],10033,14,61951,[[1003315|3]]
1003315,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11033|80],[[2|11033|80]],[1003315|4],10033,15,69917,[[1003315|4]]
1003316,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11033|90],[[2|11033|90]],[1003315|4],10033,16,77840,[[1003315|4]]
1003317,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11033|100],[[2|11033|100]],[1003315|4],10033,17,85808,[[1003315|4]]
1003318,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11033|110],[[2|11033|110]],[1003315|4],10033,18,93732,[[1003315|4]]
1003319,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11033|130],[[2|11033|130]],[1003315|4],10033,19,101675,[[1003315|4]]
1003320,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11033|150],[[2|11033|150]],[1003315|5],10033,20,112800,[[1003315|5]]
1003401,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11034|5],[[2|11034|5]],[1003414|1],10034,1,3176,[[1003414|1]]
1003402,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11034|10],[[2|11034|10]],[1003414|1],10034,2,6355,[[1003414|1]]
1003403,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11034|15],[[2|11034|15]],[1003414|1],10034,3,9535,[[1003414|1]]
1003404,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11034|20],[[2|11034|20]],[1003414|1],10034,4,12712,[[1003414|1]]
1003405,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11034|25],[[2|11034|25]],[1003414|2],10034,5,16831,[[1003414|2]]
1003406,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11034|30],[[2|11034|30]],[1003414|2],10034,6,20970,[[1003414|2]]
1003407,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11034|35],[[2|11034|35]],[1003414|2],10034,7,25112,[[1003414|2]]
1003408,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11034|40],[[2|11034|40]],[1003414|2],10034,8,29229,[[1003414|2]]
1003409,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11034|45],[[2|11034|45]],[1003414|2],10034,9,33370,[[1003414|2]]
1003410,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11034|50],[[2|11034|50]],[1003414|3],10034,10,39075,[[1003414|3]]
